target	bond	gene	type
CALM3	a	MYO10	protein
KIAA0368	a	MYO10	protein
ADD1	a	MYO10	protein
HIST2H2BF	a	MYO10	protein
PPP2CA	a	MYO10	protein
PLOD1	a	MYO10	protein
ARF5	a	MYO10	protein
ARPC2	a	MYO10	protein
ACTR2	a	MYO10	protein
MAGEA1	a	MYO10	protein
DYNLL1	a	MYO10	protein
MAGED1	a	MYO10	protein
PYCR1	a	MYO10	protein
SEC16A	a	MYO10	protein
PSMD8	a	MYO10	protein
TRMT10C	a	MYO10	protein
CUL2	a	MYO10	protein
PPP6C	a	MYO10	protein
THRAP3	a	MYO10	protein
CDK1	a	MYO10	protein
CDK9	a	MYO10	protein
TUBB2A	a	MYO10	protein
MYCBP2	a	MYO10	protein
TUBA4A	a	MYO10	protein
CXorf67	a	MYO10	protein
RASAL2	a	MYO10	protein
MAGED4	a	MYO10	protein
COIL	a	MYO10	protein
RBBP4	a	MYO10	protein
KLHDC3	a	MYO10	protein
RAE1	a	MYO10	protein
KRT74	a	MYO10	protein
PJA2	a	MYO10	protein
FBXO45	a	MYO10	protein
IL17RA	a	MYO10	protein
RNH1	a	MYO10	protein
PIK3C2A	a	MYO10	protein
PAWR	a	MYO10	protein
BCLAF1	a	MYO10	protein
SPRYD3	a	MYO10	protein
PJA1	a	MYO10	protein
KRT85	a	MYO10	protein
RAPH1	a	MYO10	protein
MYO10	a	MYO10	protein
PLIN3	a	MYO10	protein
PPP6R3	a	MYO10	protein
COTL1	a	MYO10	protein
CNOT1	a	MYO10	protein
ATIC	a	MYO10	protein
RANGAP1	a	MYO10	protein
BCAP31	a	MYO10	protein
CRTAP	a	MYO10	protein
CSRP1	a	MYO10	protein
USP7	a	MYO10	protein
NNMT	a	MYO10	protein
CAMK2D	a	MYO10	protein
CAMK2G	a	MYO10	protein
NIPSNAP1	a	MYO10	protein
CALU	a	MYO10	protein
MAGEC1	a	MYO10	protein
DNAJB1	a	MYO10	protein
HDAC10	a	MYO10	protein
MAPRE1	a	MYO10	protein
TRIO	a	MYO10	protein
PSMD13	a	MYO10	protein
PTRF	a	MYO10	protein
GOLGA4	a	MYO10	protein
ARPC1B	a	MYO10	protein
PSMD4	a	MYO10	protein
TRAF2	a	MYO10	protein
DNAJB6	a	MYO10	protein
IL18	a	MYO10	protein
RAC3	a	MYO10	protein
UGP2	a	MYO10	protein
USP9X	a	MYO10	protein
SACS	a	MYO10	protein
ANP32A	a	MYO10	protein
UBR4	a	MYO10	protein
GANAB	a	MYO10	protein
RDX	a	MYO10	protein
BAG2	a	MYO10	protein
KRT81	a	MYO10	protein
NASP	a	MYO10	protein
PSMD12	a	MYO10	protein
PPA1	a	MYO10	protein
OSBPL10	a	MYO10	protein
PRPS2	a	MYO10	protein
GCN1L1	a	MYO10	protein
SEC31A	a	MYO10	protein
ARHGDIA	a	MYO10	protein
MT1X	a	MYO10	protein
NOLC1	a	MYO10	protein
RAPH1	a	MYO10	protein
RPL8	a	MYO10	protein
CAPZA1	a	MYO10	protein
ACTB	a	MYO10	protein
ACTG1	a	MYO10	protein
