#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
277281	8829	7422	114356	113265	RP11-342D11.1	RP1-261G23.1	NRP1	VEGFA	BDCA4|CD304|NP1|NRP|VEGF165R	MVCD1|VEGF|VPF	Reconstituted Complex	physical	Mamluk R (2002)	PUBMED:11986311	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14786	Q59F20|Q6AWA9|Q68DN3|E9PEP6|A8K9V7	NP_001316997|NP_003864|NP_001231901|NP_001231902|NP_001019799|NP_001019800	P15692	A0A024RD33|A2A2V4|A0A024RD37	NP_001165099|NP_001165098|NP_001020541|NP_001020540|NP_001020537|NP_001165093|NP_001020539|NP_003367|NP_001165097|NP_001165096|NP_001165095|NP_001165094|NP_001020538|NP_001273973|NP_001165101|NP_001165100|NP_001191314|NP_001191313|NP_001028928	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277283	8829	5228	114356	111249	RP11-342D11.1	-	NRP1	PGF	BDCA4|CD304|NP1|NRP|VEGF165R	D12S1900|PGFL|PLGF|PlGF-2|SHGC-10760	Reconstituted Complex	physical	Mamluk R (2002)	PUBMED:11986311	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14786	Q59F20|Q6AWA9|Q68DN3|E9PEP6|A8K9V7	NP_001316997|NP_003864|NP_001231901|NP_001231902|NP_001019799|NP_001019800	P49763	G3XA84|Q86TW6|Q53XY6	NP_001280572|NP_001193941|NP_002623	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315456	8829	7423	114356	113266	RP11-342D11.1	-	NRP1	VEGFB	BDCA4|CD304|NP1|NRP|VEGF165R	VEGFL|VRF	Reconstituted Complex	physical	Makinen T (1999)	PUBMED:10409677	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14786	Q59F20|Q6AWA9|Q68DN3|E9PEP6|A8K9V7	NP_001316997|NP_003864|NP_001231901|NP_001231902|NP_001019799|NP_001019800	P49765	Q7LAP4	NP_001230662|NP_003368	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315501	8829	7422	114356	113265	RP11-342D11.1	RP1-261G23.1	NRP1	VEGFA	BDCA4|CD304|NP1|NRP|VEGF165R	MVCD1|VEGF|VPF	Affinity Capture-Western	physical	Soker S (1998)	PUBMED:9529250	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14786	Q59F20|Q6AWA9|Q68DN3|E9PEP6|A8K9V7	NP_001316997|NP_003864|NP_001231901|NP_001231902|NP_001019799|NP_001019800	P15692	A0A024RD33|A2A2V4|A0A024RD37	NP_001165099|NP_001165098|NP_001020541|NP_001020540|NP_001020537|NP_001165093|NP_001020539|NP_003367|NP_001165097|NP_001165096|NP_001165095|NP_001165094|NP_001020538|NP_001273973|NP_001165101|NP_001165100|NP_001191314|NP_001191313|NP_001028928	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315502	8829	7422	114356	113265	RP11-342D11.1	RP1-261G23.1	NRP1	VEGFA	BDCA4|CD304|NP1|NRP|VEGF165R	MVCD1|VEGF|VPF	Reconstituted Complex	physical	Soker S (1998)	PUBMED:9529250	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14786	Q59F20|Q6AWA9|Q68DN3|E9PEP6|A8K9V7	NP_001316997|NP_003864|NP_001231901|NP_001231902|NP_001019799|NP_001019800	P15692	A0A024RD33|A2A2V4|A0A024RD37	NP_001165099|NP_001165098|NP_001020541|NP_001020540|NP_001020537|NP_001165093|NP_001020539|NP_003367|NP_001165097|NP_001165096|NP_001165095|NP_001165094|NP_001020538|NP_001273973|NP_001165101|NP_001165100|NP_001191314|NP_001191313|NP_001028928	-	-	-	-	-	-	Homo sapiens	Homo sapiens
483146	10250	8829	115544	114356	-	RP11-342D11.1	SRRM1	NRP1	160-KD|POP101|SRM160	BDCA4|CD304|NP1|NRP|VEGF165R	Affinity Capture-MS	physical	McCracken S (2005)	PUBMED:16159877	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8IYB3	-	NP_001353495|NP_001353528|NP_001353507|NP_001353496|NP_001353494|NP_001353529|NP_001353504|NP_001353505|NP_001353502|NP_001353500|NP_001353501|NP_001353520|NP_001353521|NP_001353522|NP_001353523|NP_001353524|NP_001353499|NP_001353526|NP_001353527|NP_001290377|NP_005830|NP_001353498|NP_001290378|NP_001353497|NP_001353506|NP_001353525|NP_001353511|NP_001353510|NP_001353513|NP_001353515|NP_001353514|NP_001353517|NP_001353516|NP_001353519|NP_001353518	O14786	Q59F20|Q6AWA9|Q68DN3|E9PEP6|A8K9V7	NP_001316997|NP_003864|NP_001231901|NP_001231902|NP_001019799|NP_001019800	-	-	-	-	-	-	Homo sapiens	Homo sapiens
872810	8829	7048	114356	112906	RP11-342D11.1	-	NRP1	TGFBR2	BDCA4|CD304|NP1|NRP|VEGF165R	AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TGFR-2|TGFbeta-RII	Affinity Capture-Western	physical	Cao Y (2010)	PUBMED:20675371	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14786	Q59F20|Q6AWA9|Q68DN3|E9PEP6|A8K9V7	NP_001316997|NP_003864|NP_001231901|NP_001231902|NP_001019799|NP_001019800	P37173	D2JYI1|A3QNQ0	NP_003233|NP_001020018	-	-	-	-	-	-	Homo sapiens	Homo sapiens
872811	8829	7046	114356	112904	RP11-342D11.1	RP11-96L7.1	NRP1	TGFBR1	BDCA4|CD304|NP1|NRP|VEGF165R	AAT5|ACVRLK4|ALK-5|ALK5|ESS1|LDS1|LDS1A|LDS2A|MSSE|SKR4|TGFR-1|tbetaR-I	Affinity Capture-Western	physical	Cao Y (2010)	PUBMED:20675371	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14786	Q59F20|Q6AWA9|Q68DN3|E9PEP6|A8K9V7	NP_001316997|NP_003864|NP_001231901|NP_001231902|NP_001019799|NP_001019800	P36897	Q5T7S2	NP_004603|NP_001124388|NP_001293139	-	-	-	-	-	-	Homo sapiens	Homo sapiens
872812	8829	7422	114356	113265	RP11-342D11.1	RP1-261G23.1	NRP1	VEGFA	BDCA4|CD304|NP1|NRP|VEGF165R	MVCD1|VEGF|VPF	Co-crystal Structure	physical	Parker MW (2012)	PUBMED:22318724	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14786	Q59F20|Q6AWA9|Q68DN3|E9PEP6|A8K9V7	NP_001316997|NP_003864|NP_001231901|NP_001231902|NP_001019799|NP_001019800	P15692	A0A024RD33|A2A2V4|A0A024RD37	NP_001165099|NP_001165098|NP_001020541|NP_001020540|NP_001020537|NP_001165093|NP_001020539|NP_003367|NP_001165097|NP_001165096|NP_001165095|NP_001165094|NP_001020538|NP_001273973|NP_001165101|NP_001165100|NP_001191314|NP_001191313|NP_001028928	-	-	-	-	-	-	Homo sapiens	Homo sapiens
872816	8829	7422	114356	113265	RP11-342D11.1	RP1-261G23.1	NRP1	VEGFA	BDCA4|CD304|NP1|NRP|VEGF165R	MVCD1|VEGF|VPF	Reconstituted Complex	physical	Parker MW (2012)	PUBMED:22318724	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14786	Q59F20|Q6AWA9|Q68DN3|E9PEP6|A8K9V7	NP_001316997|NP_003864|NP_001231901|NP_001231902|NP_001019799|NP_001019800	P15692	A0A024RD33|A2A2V4|A0A024RD37	NP_001165099|NP_001165098|NP_001020541|NP_001020540|NP_001020537|NP_001165093|NP_001020539|NP_003367|NP_001165097|NP_001165096|NP_001165095|NP_001165094|NP_001020538|NP_001273973|NP_001165101|NP_001165100|NP_001191314|NP_001191313|NP_001028928	-	-	-	-	-	-	Homo sapiens	Homo sapiens
