target	bond	gene	type
PSMF1	a	PDLIM7	protein
PAK7	a	PDLIM7	protein
ENKD1	a	PDLIM7	protein
WWP2	a	PDLIM7	protein
AP5B1	a	PDLIM7	protein
CCDC185	a	PDLIM7	protein
C20orf195	a	PDLIM7	protein
TPM2	a	PDLIM7	protein
TPM2	a	PDLIM7	protein
RET	a	PDLIM7	protein
ZMYND11	a	PDLIM7	protein
SMURF1	a	PDLIM7	protein
SMURF1	a	PDLIM7	protein
MDM2	a	PDLIM7	protein
TP53	a	PDLIM7	protein
MDM2	a	PDLIM7	protein
NR2C2	a	PDLIM7	protein
TAB2	a	PDLIM7	protein
TRAF6	a	PDLIM7	protein
TRAF2	a	PDLIM7	protein
TRAF3	a	PDLIM7	protein
ZMYND11	a	PDLIM7	protein
ZMYND11	a	PDLIM7	protein
TRADD	a	PDLIM7	protein
SH3BP2	a	PDLIM7	protein
COPS5	a	PDLIM7	protein
COPS5	a	PDLIM7	protein
CBLC	a	PDLIM7	protein
WWP2	a	PDLIM7	protein
HBB	a	PDLIM7	protein
Hoxa1	a	PDLIM7	protein
ACTG1	a	PDLIM7	protein
ACTN4	a	PDLIM7	protein
ACTN1	a	PDLIM7	protein
AP2A1	a	PDLIM7	protein
ATP6V1A	a	PDLIM7	protein
CALM1	a	PDLIM7	protein
CALML3	a	PDLIM7	protein
CAPZA2	a	PDLIM7	protein
CAPZB	a	PDLIM7	protein
AP2M1	a	PDLIM7	protein
CLTA	a	PDLIM7	protein
CLTB	a	PDLIM7	protein
CLTC	a	PDLIM7	protein
CPM	a	PDLIM7	protein
EPS15	a	PDLIM7	protein
FLNA	a	PDLIM7	protein
GNAI2	a	PDLIM7	protein
GNB1	a	PDLIM7	protein
ABLIM1	a	PDLIM7	protein
MYO1B	a	PDLIM7	protein
MYH9	a	PDLIM7	protein
MYL6	a	PDLIM7	protein
MYO1E	a	PDLIM7	protein
MYO5A	a	PDLIM7	protein
PLEC	a	PDLIM7	protein
SOAT1	a	PDLIM7	protein
SORD	a	PDLIM7	protein
SPTAN1	a	PDLIM7	protein
SPTBN1	a	PDLIM7	protein
SVIL	a	PDLIM7	protein
TCEB2	a	PDLIM7	protein
TMOD1	a	PDLIM7	protein
TPM1	a	PDLIM7	protein
TPM2	a	PDLIM7	protein
TPM3	a	PDLIM7	protein
TPM4	a	PDLIM7	protein
VARS	a	PDLIM7	protein
YES1	a	PDLIM7	protein
LUZP1	a	PDLIM7	protein
ARPC4	a	PDLIM7	protein
ARPC3	a	PDLIM7	protein
ACTR3	a	PDLIM7	protein
ARPC2	a	PDLIM7	protein
MYL12A	a	PDLIM7	protein
AKAP2	a	PDLIM7	protein
SYNPO	a	PDLIM7	protein
CEP162	a	PDLIM7	protein
PALLD	a	PDLIM7	protein
MPRIP	a	PDLIM7	protein
COBL	a	PDLIM7	protein
SPECC1L	a	PDLIM7	protein
RAI14	a	PDLIM7	protein
REPIN1	a	PDLIM7	protein
BMP2K	a	PDLIM7	protein
MYO5C	a	PDLIM7	protein
QSER1	a	PDLIM7	protein
ARPC5L	a	PDLIM7	protein
MISP	a	PDLIM7	protein
ACTRT1	a	PDLIM7	protein
MYL6B	a	PDLIM7	protein
TPRN	a	PDLIM7	protein
RNF31	a	PDLIM7	protein
RBCK1	a	PDLIM7	protein
SHARPIN	a	PDLIM7	protein
PTPN14	a	PDLIM7	protein
PDLIM5	a	PDLIM7	protein
ZBTB10	a	PDLIM7	protein
SLFN12	a	PDLIM7	protein
LPP	a	PDLIM7	protein
BAG3	a	PDLIM7	protein
TRIP6	a	PDLIM7	protein
LIMD1	a	PDLIM7	protein
TRAPPC10	a	PDLIM7	protein
MB21D2	a	PDLIM7	protein
KANK2	a	PDLIM7	protein
ZBTB10	a	PDLIM7	protein
LPP	a	PDLIM7	protein
TRIP6	a	PDLIM7	protein
PTPN14	a	PDLIM7	protein
LIMD1	a	PDLIM7	protein
SLFN12	a	PDLIM7	protein
PDLIM5	a	PDLIM7	protein
BAG3	a	PDLIM7	protein
GRN	a	PDLIM7	protein
KLHL8	a	PDLIM7	protein
FHL1	a	PDLIM7	protein
OLA1	a	PDLIM7	protein
ERAP1	a	PDLIM7	protein
CNN1	a	PDLIM7	protein
PDLIM7	a	PDLIM7	protein
