ID,Accession,Target,TargetID,Experiment,Literature,Tissue
AHR,196,BCL6,604,ChIP-X,20709693,Not Applicable
AHR,196,NRP1,8829,ChIP-X,20709693,Not Applicable
AHR,196,SYPL1,6856,ChIP-X,20709693,Not Applicable
AHR,196,RAB5C,5878,ChIP-X,20709693,Not Applicable
ARNT,405,BCL6,604,ChIP-X,20709693,Not Applicable
ARNT,405,NRP1,8829,ChIP-X,20709693,Not Applicable
ARNT,405,SYPL1,6856,ChIP-X,20709693,Not Applicable
ARNT,405,RAB5C,5878,ChIP-X,20709693,Not Applicable
ARNT,405,ARFIP1,27236,ChIP-X,20709693,Not Applicable
ZNF217,7764,MYO10,4651,ChIP-X,20709693,Not Applicable
ZNF217,7764,BCL6,604,ChIP-X,20709693,Not Applicable
ZNF217,7764,NRP1,8829,ChIP-X,20709693,Not Applicable
ZNF217,7764,SYPL1,6856,ChIP-X,20709693,Not Applicable
PAX3,5077,ARFIP1,27236,ChIP-X,20709693,Not Applicable
CEBPD,1052,NRP1,8829,ChIP-X,20709693,Not Applicable
NFE2L2,4780,BCL6,604,ChIP-X,20709693,Not Applicable
ETS1,2113,RAB5C,5878,ChIP-X,20709693,Not Applicable
ETS1,2113,LMNB2,84823,ChIP-X,20709693,Not Applicable
HOXC9,3225,NRP1,8829,ChIP-X,20709693,Not Applicable
HOXC9,3225,RAB5C,5878,ChIP-X,20709693,Not Applicable
VDR,7421,PPIB,5479,ChIP-X,20709693,Not Applicable
VDR,7421,ARHGDIA,396,ChIP-X,20709693,Not Applicable
FOXP3,50943,BCL6,604,ChIP-X,20709693,Not Applicable
FOXP3,50943,NRP1,8829,ChIP-X,20709693,Not Applicable
FOXP3,50943,SYPL1,6856,ChIP-X,20709693,Not Applicable
FOXP3,50943,PPP3R1,5534,ChIP-X,20709693,Not Applicable
TTF2,8458,SYPL1,6856,ChIP-X,20709693,Not Applicable
TTF2,8458,PPP3R1,5534,ChIP-X,20709693,Not Applicable
XRN2,22803,ARFIP1,27236,ChIP-X,20709693,Not Applicable
XRN2,22803,ARHGDIA,396,ChIP-X,20709693,Not Applicable
ELK1,2002,MYO10,4651,ChIP-X,20709693,Not Applicable
ELK1,2002,PPP3R1,5534,ChIP-X,20709693,Not Applicable
ELK1,2002,ARFIP1,27236,ChIP-X,20709693,Not Applicable
DACH1,1602,ARHGDIA,396,ChIP-X,20709693,Not Applicable
DACH1,1602,ARFIP2,23647,ChIP-X,20709693,Not Applicable
PHF8,23133,MYO10,4651,ChIP-X,20709693,Not Applicable
PHF8,23133,ARHGDIA,396,ChIP-X,20709693,Not Applicable
PHF8,23133,PDLIM7,9260,ChIP-X,20709693,Not Applicable
AR,367,MYO10,4651,ChIP-X,20709693,Not Applicable
AR,367,NRP1,8829,ChIP-X,20709693,Not Applicable
AR,367,SH3BGRL3,83442,ChIP-X,20709693,Not Applicable
AR,367,AP3D1,8943,ChIP-X,20709693,Not Applicable
AR,367,SYPL1,6856,ChIP-X,20709693,Not Applicable
AR,367,GNAI2,2771,ChIP-X,20709693,Not Applicable
AR,367,ARFIP1,27236,ChIP-X,20709693,Not Applicable
STAT3,6774,MYO10,4651,ChIP-X,20709693,Not Applicable
STAT3,6774,BCL6,604,ChIP-X,7876106,Not Applicable
STAT3,6774,AP3D1,8943,ChIP-X,20709693,Not Applicable
STAT3,6774,ARFIP1,27236,ChIP-X,20709693,Not Applicable
STAT3,6774,PDLIM7,9260,ChIP-X,20709693,Not Applicable
STAT3,6774,METTL7A,25840,ChIP-X,20709693,Not Applicable
TCF4,6925,MYO10,4651,ChIP-X,20709693,Not Applicable
TCF4,6925,SYPL1,6856,ChIP-X,20709693,Not Applicable
SMAD4,4089,MYO10,4651,ChIP-X,20709693,Not Applicable
SMAD4,4089,NRP1,8829,ChIP-X,20709693,Not Applicable
TP63,8626,MYO10,4651,ChIP-X,20709693,Not Applicable
TP63,8626,NRP1,8829,ChIP-X,20709693,Not Applicable
TP63,8626,SH3BGRL3,83442,ChIP-X,20709693,Not Applicable
TP63,8626,AP3D1,8943,ChIP-X,20709693,Not Applicable
TP63,8626,SYPL1,6856,ChIP-X,20709693,Not Applicable
TP63,8626,GNAI2,2771,ChIP-X,20709693,Not Applicable
TP63,8626,RAB5C,5878,ChIP-X,20709693,Not Applicable
TP63,8626,PPIB,5479,ChIP-X,20709693,Not Applicable
TP63,8626,ARFIP1,27236,ChIP-X,20709693,Not Applicable
CREB1,1385,MYO10,4651,ChIP-X,20709693,Not Applicable
CREB1,1385,BCL6,604,ChIP-X,20709693,Not Applicable
CREB1,1385,GNAI2,2771,ChIP-X,20709693,Not Applicable
CREB1,1385,RAB5C,5878,ChIP-X,20709693,Not Applicable
CREB1,1385,PPIB,5479,ChIP-X,20709693,Not Applicable
CREB1,1385,PPP3R1,5534,ChIP-X,20709693,Not Applicable
CREB1,1385,ARFIP1,27236,ChIP-X,20709693,Not Applicable
CREB1,1385,ARHGDIA,396,ChIP-X,20709693,Not Applicable
CREB1,1385,ARFIP2,23647,ChIP-X,20709693,Not Applicable
CREM,1390,MYO10,4651,ChIP-X,20709693,Not Applicable
CREM,1390,BCL6,604,ChIP-X,20709693,Not Applicable
CREM,1390,SH3BGRL3,83442,ChIP-X,20709693,Not Applicable
CREM,1390,AP3D1,8943,ChIP-X,20709693,Not Applicable
CREM,1390,SYPL1,6856,ChIP-X,20709693,Not Applicable
CREM,1390,GNAI2,2771,ChIP-X,20709693,Not Applicable
CREM,1390,RAB5C,5878,ChIP-X,20709693,Not Applicable
CREM,1390,PPIB,5479,ChIP-X,20709693,Not Applicable
CREM,1390,PPP3R1,5534,ChIP-X,20709693,Not Applicable
CREM,1390,ARFIP1,27236,ChIP-X,20709693,Not Applicable
CREM,1390,ARHGDIA,396,ChIP-X,20709693,Not Applicable
CREM,1390,ARFIP2,23647,ChIP-X,20709693,Not Applicable
E2F1,1869,SH3BGRL3,83442,ChIP-X,20709693,Not Applicable
E2F1,1869,AP3D1,8943,ChIP-X,20709693,Not Applicable
E2F1,1869,GNAI2,2771,ChIP-X,20709693,Not Applicable
E2F1,1869,RAB5C,5878,ChIP-X,20709693,Not Applicable
E2F1,1869,PPIB,5479,ChIP-X,20709693,Not Applicable
E2F1,1869,PPP3R1,5534,ChIP-X,20709693,Not Applicable
E2F1,1869,SAC3D1,29901,ChIP-X,20709693,Not Applicable
E2F1,1869,CUL4B,8450,ChIP-X,20709693,Not Applicable
E2F1,1869,LMNB2,84823,ChIP-X,20709693,Not Applicable
E2F1,1869,ARHGDIA,396,ChIP-X,20709693,Not Applicable
E2F1,1869,ARFIP2,23647,ChIP-X,20709693,Not Applicable
E2F1,1869,PDLIM7,9260,ChIP-X,20709693,Not Applicable
FLI1,2313,SH3BGRL3,83442,ChIP-X,20709693,Not Applicable
FLI1,2313,SYPL1,6856,ChIP-X,20709693,Not Applicable
FLI1,2313,GNAI2,2771,ChIP-X,20709693,Not Applicable
FLI1,2313,RAB5C,5878,ChIP-X,20709693,Not Applicable
FLI1,2313,PPIB,5479,ChIP-X,20709693,Not Applicable
FLI1,2313,PPP3R1,5534,ChIP-X,20709693,Not Applicable
FLI1,2313,LMNB2,84823,ChIP-X,20709693,Not Applicable
FLI1,2313,ARFIP1,27236,ChIP-X,20709693,Not Applicable
FLI1,2313,ARFIP2,23647,ChIP-X,20709693,Not Applicable
FLI1,2313,PDLIM7,9260,ChIP-X,20709693,Not Applicable
RUNX1,861,BCL6,604,ChIP-X,20709693,Not Applicable
RUNX1,861,SH3BGRL3,83442,ChIP-X,20709693,Not Applicable
RUNX1,861,SYPL1,6856,ChIP-X,20709693,Not Applicable
RUNX1,861,GNAI2,2771,ChIP-X,20709693,Not Applicable
RUNX1,861,RAB5C,5878,ChIP-X,20709693,Not Applicable
RUNX1,861,PPIB,5479,ChIP-X,20709693,Not Applicable
RUNX1,861,SAC3D1,29901,ChIP-X,20709693,Not Applicable
RUNX1,861,ARFIP1,27236,ChIP-X,20709693,Not Applicable
RUNX1,861,ARHGDIA,396,ChIP-X,20709693,Not Applicable
MYC,4609,MYO10,4651,ChIP-X,20709693,Not Applicable
MYC,4609,SH3BGRL3,83442,ChIP-X,20709693,Not Applicable
MYC,4609,SYPL1,6856,ChIP-X,20709693,Not Applicable
MYC,4609,RAB5C,5878,ChIP-X,20709693,Not Applicable
MYC,4609,PPIB,5479,ChIP-X,20709693,Not Applicable
MYC,4609,SAC3D1,29901,ChIP-X,20709693,Not Applicable
MYC,4609,LMNB2,84823,ChIP-X,20709693,Not Applicable
MYC,4609,ARHGDIA,396,ChIP-X,20709693,Not Applicable
MYC,4609,ARFIP2,23647,ChIP-X,20709693,Not Applicable
SPI1,6688,SH3BGRL3,83442,ChIP-X,20709693,Not Applicable
SPI1,6688,SYPL1,6856,ChIP-X,20709693,Not Applicable
SPI1,6688,GNAI2,2771,ChIP-X,20709693,Not Applicable
SPI1,6688,RAB5C,5878,ChIP-X,20709693,Not Applicable
SPI1,6688,PPIB,5479,ChIP-X,20709693,Not Applicable
SPI1,6688,PPP3R1,5534,ChIP-X,20709693,Not Applicable
SPI1,6688,CUL4B,8450,ChIP-X,20709693,Not Applicable
SPI1,6688,LMNB2,84823,ChIP-X,20709693,Not Applicable
SPI1,6688,ARHGDIA,396,ChIP-X,20709693,Not Applicable
SPI1,6688,ARFIP2,23647,ChIP-X,20709693,Not Applicable
SPI1,6688,PDLIM7,9260,ChIP-X,20709693,Not Applicable
SPI1,6688,METTL7A,25840,ChIP-X,20709693,Not Applicable
KLF4,9314,AP3D1,8943,ChIP-X,20709693,Not Applicable
KLF4,9314,RAB5C,5878,ChIP-X,20709693,Not Applicable
KLF4,9314,PPIB,5479,ChIP-X,20709693,Not Applicable
KLF4,9314,ARHGDIA,396,ChIP-X,20709693,Not Applicable
NANOG,79923,MYO10,4651,ChIP-X,20709693,Not Applicable
NANOG,79923,BCL6,604,ChIP-X,20709693,Not Applicable
NANOG,79923,SH3BGRL3,83442,ChIP-X,20709693,Not Applicable
NANOG,79923,GNAI2,2771,ChIP-X,20709693,Not Applicable
NANOG,79923,RAB5C,5878,ChIP-X,20709693,Not Applicable
NANOG,79923,PPP3R1,5534,ChIP-X,20709693,Not Applicable
POU5F1,5460,MYO10,4651,ChIP-X,20709693,Not Applicable
POU5F1,5460,BCL6,604,ChIP-X,20709693,Not Applicable
POU5F1,5460,SH3BGRL3,83442,ChIP-X,20709693,Not Applicable
POU5F1,5460,GNAI2,2771,ChIP-X,20709693,Not Applicable
POU5F1,5460,PPP3R1,5534,ChIP-X,20709693,Not Applicable
POU5F1,5460,SAC3D1,29901,ChIP-X,20709693,Not Applicable
POU5F1,5460,ARFIP1,27236,ChIP-X,20709693,Not Applicable
POU5F1,5460,ARHGDIA,396,ChIP-X,20709693,Not Applicable
POU5F1,5460,PDLIM7,9260,ChIP-X,20709693,Not Applicable
SOX2,6657,MYO10,4651,ChIP-X,20709693,Not Applicable
SOX2,6657,BCL6,604,ChIP-X,20709693,Not Applicable
SOX2,6657,NRP1,8829,ChIP-X,20709693,Not Applicable
SOX2,6657,SH3BGRL3,83442,ChIP-X,20709693,Not Applicable
SOX2,6657,AP3D1,8943,ChIP-X,20709693,Not Applicable
SOX2,6657,SYPL1,6856,ChIP-X,20709693,Not Applicable
SOX2,6657,GNAI2,2771,ChIP-X,20709693,Not Applicable
SOX2,6657,CUL4B,8450,ChIP-X,20709693,Not Applicable
SOX2,6657,LMNB2,84823,ChIP-X,20709693,Not Applicable
SOX2,6657,ARFIP1,27236,ChIP-X,20709693,Not Applicable
SOX2,6657,ARHGDIA,396,ChIP-X,20709693,Not Applicable
SOX2,6657,METTL7A,25840,ChIP-X,20709693,Not Applicable
TCF3,6929,BCL6,604,ChIP-X,20709693,Not Applicable
TCF3,6929,SYPL1,6856,ChIP-X,20709693,Not Applicable
TCF3,6929,GNAI2,2771,ChIP-X,20709693,Not Applicable
TCF3,6929,PPP3R1,5534,ChIP-X,20709693,Not Applicable
TCF3,6929,SAC3D1,29901,ChIP-X,20709693,Not Applicable
TCF3,6929,LMNB2,84823,ChIP-X,20709693,Not Applicable
EGR1,1958,BCL6,604,ChIP-X,20709693,Not Applicable
EGR1,1958,SH3BGRL3,83442,ChIP-X,20709693,Not Applicable
EGR1,1958,AP3D1,8943,ChIP-X,20709693,Not Applicable
EGR1,1958,SYPL1,6856,ChIP-X,20709693,Not Applicable
EGR1,1958,GNAI2,2771,ChIP-X,20709693,Not Applicable
EGR1,1958,PPP3R1,5534,ChIP-X,20709693,Not Applicable
EGR1,1958,CUL4B,8450,ChIP-X,20709693,Not Applicable
EGR1,1958,LMNB2,84823,ChIP-X,20709693,Not Applicable
EGR1,1958,ARHGDIA,396,ChIP-X,20709693,Not Applicable
EGR1,1958,PDLIM7,9260,ChIP-X,20709693,Not Applicable
EGR1,1958,METTL7A,25840,ChIP-X,20709693,Not Applicable
MITF,4286,MYO10,4651,ChIP-X,20709693,Not Applicable
MITF,4286,BCL6,604,ChIP-X,20709693,Not Applicable
MITF,4286,AP3D1,8943,ChIP-X,20709693,Not Applicable
