ID,Accession,Target,TargetID,Experiment,Literature,Tissue
SPIB,6689,GNAI2,2771,Computational,31701148,Not Applicable
ZNF354C,30832,ARFIP1,27236,Computational,31701148,Not Applicable
ZNF354C,30832,CUL4B,8450,Computational,31701148,Not Applicable
ARID3A,1820,METTL7A,25840,Computational,31701148,Not Applicable
NKX2-5,1482,PPIB,5479,Computational,31701148,Not Applicable
NKX3-2,579,PPIB,5479,Computational,31701148,Not Applicable
NKX3-2,579,SAC3D1,29901,Computational,31701148,Not Applicable
BRCA1,672,PPIB,5479,Computational,31701148,Not Applicable
BRCA1,672,ARHGDIA,396,Computational,31701148,Not Applicable
CEBPB,1051,AP3D1,8943,Computational,31701148,Not Applicable
FOS,2353,AP3D1,8943,Computational,31701148,Not Applicable
JUN,3725,MYO10,4651,Computational,31701148,Not Applicable
CREB1,1385,PPIB,5479,Computational,31701148,Not Applicable
CREB1,1385,SYPL1,6856,Computational,31701148,Not Applicable
CREB1,1385,GNAI2,2771,Computational,31701148,Not Applicable
CREB1,1385,AP3D1,8943,Computational,31701148,Not Applicable
CREB1,1385,RAB5C,5878,Computational,31701148,Not Applicable
CREB1,1385,ARHGDIA,396,Computational,31701148,Not Applicable
CREB1,1385,SH3BGRL3,83442,Computational,31701148,Not Applicable
FOXC1,2296,MYO10,4651,Computational,31701148,Not Applicable
FOXC1,2296,PPP3R1,5534,Computational,31701148,Not Applicable
FOXC1,2296,METTL7A,25840,Computational,31701148,Not Applicable
FOXC1,2296,PPIB,5479,Computational,31701148,Not Applicable
FOXC1,2296,ARFIP1,27236,Computational,31701148,Not Applicable
FOXC1,2296,LMNB2,84823,Computational,31701148,Not Applicable
FOXC1,2296,SYPL1,6856,Computational,31701148,Not Applicable
FOXC1,2296,GNAI2,2771,Computational,31701148,Not Applicable
FOXC1,2296,BCL6,604,Computational,31701148,Not Applicable
FOXC1,2296,AP3D1,8943,Computational,31701148,Not Applicable
FOXC1,2296,ARHGDIA,396,Computational,31701148,Not Applicable
FOXC1,2296,CUL4B,8450,Computational,31701148,Not Applicable
FOXC1,2296,SAC3D1,29901,Computational,31701148,Not Applicable
GATA2,2624,MYO10,4651,Computational,31701148,Not Applicable
GATA2,2624,ARFIP1,27236,Computational,31701148,Not Applicable
GATA2,2624,SYPL1,6856,Computational,31701148,Not Applicable
GATA2,2624,BCL6,604,Computational,31701148,Not Applicable
FOXL1,2300,MYO10,4651,Computational,31701148,Not Applicable
FOXL1,2300,GNAI2,2771,Computational,31701148,Not Applicable
FOXL1,2300,BCL6,604,Computational,31701148,Not Applicable
FOXL1,2300,AP3D1,8943,Computational,31701148,Not Applicable
YY1,7528,PPP3R1,5534,Computational,31701148,Not Applicable
YY1,7528,METTL7A,25840,Computational,31701148,Not Applicable
YY1,7528,GNAI2,2771,Computational,31701148,Not Applicable
YY1,7528,AP3D1,8943,Computational,31701148,Not Applicable
YY1,7528,CUL4B,8450,Computational,31701148,Not Applicable
MEF2A,4205,PPP3R1,5534,Computational,31701148,Not Applicable
MEF2A,4205,METTL7A,25840,Computational,31701148,Not Applicable
MEF2A,4205,PPIB,5479,Computational,31701148,Not Applicable
MEF2A,4205,LMNB2,84823,Computational,31701148,Not Applicable
MEF2A,4205,AP3D1,8943,Computational,31701148,Not Applicable
MEF2A,4205,CUL4B,8450,Computational,31701148,Not Applicable
MEF2A,4205,SAC3D1,29901,Computational,31701148,Not Applicable
POU2F2,5452,ARFIP1,27236,Computational,31701148,Not Applicable
HOXA5,3202,MYO10,4651,Computational,31701148,Not Applicable
HOXA5,3202,GNAI2,2771,Computational,31701148,Not Applicable
HOXA5,3202,AP3D1,8943,Computational,31701148,Not Applicable
NFIC,4782,LMNB2,84823,Computational,31701148,Not Applicable
NFIC,4782,SYPL1,6856,Computational,31701148,Not Applicable
NFIC,4782,GNAI2,2771,Computational,31701148,Not Applicable
NFIC,4782,BCL6,604,Computational,31701148,Not Applicable
NFIC,4782,RAB5C,5878,Computational,31701148,Not Applicable
NFYA,4800,PPIB,5479,Computational,31701148,Not Applicable
NFYA,4800,GNAI2,2771,Computational,31701148,Not Applicable
