ID,Accession,Target,TargetID,Experiment,Literature,Tissue
ABL1,25,BCL6,604,-,15509806,Not Applicable
BCL6,604,BCL6,604,-,12407182,Not Applicable
CTCF,10664,BCL6,604,-,20733034,Not Applicable
FOSL2,2355,BCL6,604,+,22493372,Not Applicable
FOXO3,2309,BCL6,604,+,15509806,Not Applicable
FOXO4,4303,BCL6,604,+,11777915,Not Applicable
IRF4,3662,BCL6,604,-,17785200,Not Applicable
IRF5,3663,PDLIM7,9260,-,16140744,Not Applicable
JUND,3727,BCL6,604,+,22493372,Not Applicable
JUND,3727,BCL6,604,-,18071306,Not Applicable
MEF2B,100271849,BCL6,604,Unknown,23974956,Not Applicable
REST,5978,NRP1,8829,-,16330548,Not Applicable
SPI1,6688,BCL6,604,-,19564417,Not Applicable
STAT3,6774,BCL6,604,+,20228272;23716595,Not Applicable
STAT5,665,BCL6,604,-,23716595,Not Applicable
STAT5A,6776,BCL6,604,-,16819511,Not Applicable
STAT5B,6777,BCL6,604,-,16819511,Not Applicable
ZEB1,6935,BCL6,604,-,20175752,Not Applicable
