ID,Accession,Target,TargetID,Experiment,Literature,Tissue
RARA,5914,AP3D1,8943,ChIP-seq,29126249,Not Applicable
MAZ,4150,AP3D1,8943,ChIP-seq,29126249,Not Applicable
GLIS1,148979,AP3D1,8943,ChIP-seq,29126249,Not Applicable
SP2,6668,AP3D1,8943,ChIP-seq,29126249,Not Applicable
KLF8,11279,AP3D1,8943,ChIP-seq,29126249,Not Applicable
CREM,1390,AP3D1,8943,ChIP-seq,29126249,Not Applicable
ZNF384,171017,AP3D1,8943,ChIP-seq,29126249,Not Applicable
POLR2A,5430,AP3D1,8943,ChIP-seq,29126249,Not Applicable
SMAD5,4090,AP3D1,8943,ChIP-seq,29126249,Not Applicable
MXD4,10608,AP3D1,8943,ChIP-seq,29126249,Not Applicable
ZNF76,7629,ARFIP1,27236,ChIP-seq,29126249,Not Applicable
ZNF512,84450,ARFIP1,27236,ChIP-seq,29126249,Not Applicable
ZNF18,7566,ARFIP1,27236,ChIP-seq,29126249,Not Applicable
TFDP1,7027,ARFIP1,27236,ChIP-seq,29126249,Not Applicable
SMAD5,4090,ARFIP1,27236,ChIP-seq,29126249,Not Applicable
PHF8,23133,ARFIP1,27236,ChIP-seq,29126249,Not Applicable
SAP30,8819,ARFIP1,27236,ChIP-seq,29126249,Not Applicable
IRF1,3659,ARFIP1,27236,ChIP-seq,29126249,Not Applicable
KDM5B,10765,ARFIP1,27236,ChIP-seq,29126249,Not Applicable
NFRKB,4798,ARFIP2,23647,ChIP-seq,29126249,Not Applicable
ZNF76,7629,ARFIP2,23647,ChIP-seq,29126249,Not Applicable
ETS1,2113,ARFIP2,23647,ChIP-seq,29126249,Not Applicable
ZHX1,11244,ARFIP2,23647,ChIP-seq,29126249,Not Applicable
NCOR1,9611,ARFIP2,23647,ChIP-seq,29126249,Not Applicable
RARA,5914,ARFIP2,23647,ChIP-seq,29126249,Not Applicable
KLF6,1316,ARFIP2,23647,ChIP-seq,29126249,Not Applicable
ELF1,1997,ARFIP2,23647,ChIP-seq,29126249,Not Applicable
TRIM28,10155,ARFIP2,23647,ChIP-seq,29126249,Not Applicable
BCL11B,64919,ARHGDIA,396,ChIP-seq,29126249,Not Applicable
SREBF2,6721,ARHGDIA,396,ChIP-seq,29126249,Not Applicable
ZBTB33,10009,ARHGDIA,396,ChIP-seq,29126249,Not Applicable
SP2,6668,ARHGDIA,396,ChIP-seq,29126249,Not Applicable
MBD2,8932,ARHGDIA,396,ChIP-seq,29126249,Not Applicable
ZEB1,6935,ARHGDIA,396,ChIP-seq,29126249,Not Applicable
