ID,Accession,Target,TargetID,Experiment,Literature,Tissue
YY1,7528,AP3D1,8943,Unknown,bav095,Not Applicable
STAT5B,6777,BCL6,604,Unknown,bav095,Not Applicable
STAT1,6772,BCL6,604,Unknown,bav095,Not Applicable
EGR1,1958,PDLIM7,9260,Unknown,bav095,Not Applicable
ZEB1,6935,GNAI2,2771,Unknown,bav095,Not Applicable
ZEB1,6935,CUL4B,8450,Unknown,bav095,Not Applicable
ZEB1,6935,BCL6,604,Unknown,bav095,Not Applicable
ZBTB6,10773,MYO10,4651,Unknown,bav095,Not Applicable
YY1,7528,RAB5C,5878,Unknown,bav095,Not Applicable
YY1,7528,LMNB2,84823,Unknown,bav095,Not Applicable
YY1,7528,CUL4B,8450,Unknown,bav095,Not Applicable
USF1,7391,CUL4B,8450,Unknown,bav095,Not Applicable
USF1,7391,BCL6,604,Unknown,bav095,Not Applicable
USF1,7391,AP3D1,8943,Unknown,bav095,Not Applicable
TP53,7157,MYO10,4651,Unknown,bav095,Not Applicable
TLX2,3196,NRP1,8829,Unknown,bav095,Not Applicable
TGIF1,7050,BCL6,604,Unknown,bav095,Not Applicable
TFAP4,7023,SYPL1,6856,Unknown,bav095,Not Applicable
TFAP2C,7022,NRP1,8829,Unknown,bav095,Not Applicable
TFAP2C,7022,MYO10,4651,Unknown,bav095,Not Applicable
TFAP2C,7022,ARFIP2,23647,Unknown,bav095,Not Applicable
TFAP2A,7020,PDLIM7,9260,Unknown,bav095,Not Applicable
TFAP2A,7020,NRP1,8829,Unknown,bav095,Not Applicable
TFAP2A,7020,MYO10,4651,Unknown,bav095,Not Applicable
TFAP2A,7020,GNAI2,2771,Unknown,bav095,Not Applicable
TFAP2A,7020,ARHGDIA,396,Unknown,bav095,Not Applicable
TCF4,6925,MYO10,4651,Unknown,bav095,Not Applicable
TCF4,6925,METTL7A,25840,Unknown,bav095,Not Applicable
TCF3,6929,METTL7A,25840,Unknown,bav095,Not Applicable
TAL1,6886,MYO10,4651,Unknown,bav095,Not Applicable
TAL1,6886,METTL7A,25840,Unknown,bav095,Not Applicable
STAT6,6778,BCL6,604,Unknown,bav095,Not Applicable
STAT5A,6776,PPP3R1,5534,Unknown,bav095,Not Applicable
STAT5A,6776,BCL6,604,Unknown,bav095,Not Applicable
STAT4,6775,BCL6,604,Unknown,bav095,Not Applicable
STAT3,6774,BCL6,604,Unknown,bav095,Not Applicable
STAT3,6774,ARFIP1,27236,Unknown,bav095,Not Applicable
STAT2,6773,BCL6,604,Unknown,bav095,Not Applicable
SPI1,6688,RAB5C,5878,Unknown,bav095,Not Applicable
SPI1,6688,PPIB,5479,Unknown,bav095,Not Applicable
SPI1,6688,CUL4B,8450,Unknown,bav095,Not Applicable
SPI1,6688,ARFIP2,23647,Unknown,bav095,Not Applicable
SP1,6667,SYPL1,6856,Unknown,bav095,Not Applicable
SP1,6667,PPP3R1,5534,Unknown,bav095,Not Applicable
SP1,6667,PDLIM7,9260,Unknown,bav095,Not Applicable
SP1,6667,GNAI2,2771,Unknown,bav095,Not Applicable
SP1,6667,BCL6,604,Unknown,bav095,Not Applicable
SP1,6667,AP3D1,8943,Unknown,bav095,Not Applicable
RREB1,6239,SAC3D1,29901,Unknown,bav095,Not Applicable
RREB1,6239,METTL7A,25840,Unknown,bav095,Not Applicable
RORA,6095,BCL6,604,Unknown,bav095,Not Applicable
RFX1,5989,PPIB,5479,Unknown,bav095,Not Applicable
REST,5978,SH3BGRL3,83442,Unknown,bav095,Not Applicable
RELA,5970,GNAI2,2771,Unknown,bav095,Not Applicable
PPARG,5468,RAB5C,5878,Unknown,bav095,Not Applicable
PPARG,5468,PPIB,5479,Unknown,bav095,Not Applicable
POU3F2,5454,NRP1,8829,Unknown,bav095,Not Applicable
POU3F2,5454,CUL4B,8450,Unknown,bav095,Not Applicable
POU3F2,5454,BCL6,604,Unknown,bav095,Not Applicable
POU3F1,5453,BCL6,604,Unknown,bav095,Not Applicable
POU2F1,5451,METTL7A,25840,Unknown,bav095,Not Applicable
PAX5,5079,LMNB2,84823,Unknown,bav095,Not Applicable
NKX3-1,4824,PPIB,5479,Unknown,bav095,Not Applicable
NFYA,4800,GNAI2,2771,Unknown,bav095,Not Applicable
NFYA,4800,AP3D1,8943,Unknown,bav095,Not Applicable
NFKB2,4791,GNAI2,2771,Unknown,bav095,Not Applicable
NFKB1,4790,GNAI2,2771,Unknown,bav095,Not Applicable
NFIC,4782,ARFIP2,23647,Unknown,bav095,Not Applicable
MYC,4609,SYPL1,6856,Unknown,bav095,Not Applicable
MYC,4609,PPIB,5479,Unknown,bav095,Not Applicable
MYC,4609,LMNB2,84823,Unknown,bav095,Not Applicable
MYC,4609,GNAI2,2771,Unknown,bav095,Not Applicable
MYC,4609,ARHGDIA,396,Unknown,bav095,Not Applicable
MYC,4609,ARFIP2,23647,Unknown,bav095,Not Applicable
MYC,4609,AP3D1,8943,Unknown,bav095,Not Applicable
MYB,4602,BCL6,604,Unknown,bav095,Not Applicable
MXI1,4601,RAB5C,5878,Unknown,bav095,Not Applicable
23601,23601,RAB5C,5878,Unknown,bav095,Not Applicable
MXI1,4601,MYO10,4651,Unknown,bav095,Not Applicable
23601,23601,MYO10,4651,Unknown,bav095,Not Applicable
MXI1,4601,CUL4B,8450,Unknown,bav095,Not Applicable
23601,23601,CUL4B,8450,Unknown,bav095,Not Applicable
MXI1,4601,BCL6,604,Unknown,bav095,Not Applicable
23601,23601,BCL6,604,Unknown,bav095,Not Applicable
MXI1,4601,ARHGDIA,396,Unknown,bav095,Not Applicable
23601,23601,ARHGDIA,396,Unknown,bav095,Not Applicable
MXI1,4601,AP3D1,8943,Unknown,bav095,Not Applicable
23601,23601,AP3D1,8943,Unknown,bav095,Not Applicable
MEIS1,4211,BCL6,604,Unknown,bav095,Not Applicable
MAX,4149,RAB5C,5878,Unknown,bav095,Not Applicable
MAX,4149,PPP3R1,5534,Unknown,bav095,Not Applicable
MAX,4149,MYO10,4651,Unknown,bav095,Not Applicable
MAX,4149,LMNB2,84823,Unknown,bav095,Not Applicable
MAX,4149,GNAI2,2771,Unknown,bav095,Not Applicable
MAX,4149,CUL4B,8450,Unknown,bav095,Not Applicable
MAX,4149,BCL6,604,Unknown,bav095,Not Applicable
MAX,4149,ARHGDIA,396,Unknown,bav095,Not Applicable
LMO2,4005,BCL6,604,Unknown,bav095,Not Applicable
JUND,3727,BCL6,604,Unknown,bav095,Not Applicable
JUNB,3726,BCL6,604,Unknown,bav095,Not Applicable
JUN,3725,SH3BGRL3,83442,Unknown,bav095,Not Applicable
JUN,3725,BCL6,604,Unknown,bav095,Not Applicable
HOXA9,3205,BCL6,604,Unknown,bav095,Not Applicable
HNF4A,3172,BCL6,604,Unknown,bav095,Not Applicable
GATA1,2623,PDLIM7,9260,Unknown,bav095,Not Applicable
GABPA,2551,SYPL1,6856,Unknown,bav095,Not Applicable
GABPA,2551,RAB5C,5878,Unknown,bav095,Not Applicable
GABPA,2551,PPP3R1,5534,Unknown,bav095,Not Applicable
GABPA,2551,CUL4B,8450,Unknown,bav095,Not Applicable
GABPA,2551,ARHGDIA,396,Unknown,bav095,Not Applicable
GABPA,2551,ARFIP2,23647,Unknown,bav095,Not Applicable
GABPA,2551,AP3D1,8943,Unknown,bav095,Not Applicable
FOXL1,2300,BCL6,604,Unknown,bav095,Not Applicable
FOXF2,2295,CUL4B,8450,Unknown,bav095,Not Applicable
FOXD3,27022,BCL6,604,Unknown,bav095,Not Applicable
FOSL1,8061,BCL6,604,Unknown,bav095,Not Applicable
FOSB,2354,BCL6,604,Unknown,bav095,Not Applicable
FOS,2353,BCL6,604,Unknown,bav095,Not Applicable
ETS1,2113,NRP1,8829,Unknown,bav095,Not Applicable
ESR1,2099,BCL6,604,Unknown,bav095,Not Applicable
ELK1,2002,ARFIP2,23647,Unknown,bav095,Not Applicable
EGR3,1960,PDLIM7,9260,Unknown,bav095,Not Applicable
EGR3,1960,MYO10,4651,Unknown,bav095,Not Applicable
EGR2,1959,PDLIM7,9260,Unknown,bav095,Not Applicable
EGR2,1959,MYO10,4651,Unknown,bav095,Not Applicable
EGR1,1958,PPP3R1,5534,Unknown,bav095,Not Applicable
EGR1,1958,PPIB,5479,Unknown,bav095,Not Applicable
EGR1,1958,MYO10,4651,Unknown,bav095,Not Applicable
EGR1,1958,BCL6,604,Unknown,bav095,Not Applicable
EBF1,1879,SYPL1,6856,Unknown,bav095,Not Applicable
EBF1,1879,PDLIM7,9260,Unknown,bav095,Not Applicable
E2F1,1869,PPP3R1,5534,Unknown,bav095,Not Applicable
E2F1,1869,PPIB,5479,Unknown,bav095,Not Applicable
CUX1,1523,LMNB2,84823,Unknown,bav095,Not Applicable
CUX1,1523,BCL6,604,Unknown,bav095,Not Applicable
CUX1,1523,AP3D1,8943,Unknown,bav095,Not Applicable
CTCF,10664,SH3BGRL3,83442,Unknown,bav095,Not Applicable
CTCF,10664,PPIB,5479,Unknown,bav095,Not Applicable
CTCF,10664,PDLIM7,9260,Unknown,bav095,Not Applicable
CTCF,10664,ARHGDIA,396,Unknown,bav095,Not Applicable
CTCF,10664,ARFIP1,27236,Unknown,bav095,Not Applicable
CDC5L,988,BCL6,604,Unknown,bav095,Not Applicable
BPTF,2186,BCL6,604,Unknown,bav095,Not Applicable
BACH1,571,SH3BGRL3,83442,Unknown,bav095,Not Applicable
BACH1,571,BCL6,604,Unknown,bav095,Not Applicable
ATF2,1386,BCL6,604,Unknown,bav095,Not Applicable
ARNT,405,ARHGDIA,396,Unknown,bav095,Not Applicable
AHR,196,ARHGDIA,396,Unknown,bav095,Not Applicable
AHR,196,CUL4B,8450,Unknown,bav095,Not Applicable
AR,367,CUL4B,8450,Unknown,bav095,Not Applicable
BCL6,604,BCL6,604,Unknown,bav095,Not Applicable
BCL6B,255877,BCL6,604,Unknown,bav095,Not Applicable
BCOR,54880,BCL6,604,Unknown,bav095,Not Applicable
DDB1,1642,CUL4B,8450,Unknown,bav095,Not Applicable
DDB2,1643,CUL4B,8450,Unknown,bav095,Not Applicable
EP300,2033,BCL6,604,Unknown,bav095,Not Applicable
ESR1,2099,CUL4B,8450,Unknown,bav095,Not Applicable
EYA2,2139,GNAI2,2771,Unknown,bav095,Not Applicable
HDAC4,9759,BCL6,604,Unknown,bav095,Not Applicable
HDAC5,10014,BCL6,604,Unknown,bav095,Not Applicable
HDAC7,51564,BCL6,604,Unknown,bav095,Not Applicable
HDAC9,9734,BCL6,604,Unknown,bav095,Not Applicable
IRF3,3661,PPIB,5479,Unknown,bav095,Not Applicable
IRF4,3662,BCL6,604,Unknown,bav095,Not Applicable
NCOR1,9611,BCL6,604,Unknown,bav095,Not Applicable
NCOR2,9612,BCL6,604,Unknown,bav095,Not Applicable
NFAT5,10725,PPP3R1,5534,Unknown,bav095,Not Applicable
NFATC1,4772,PPP3R1,5534,Unknown,bav095,Not Applicable
NFATC2,4773,PPP3R1,5534,Unknown,bav095,Not Applicable
NFATC3,4775,PPP3R1,5534,Unknown,bav095,Not Applicable
NFATC4,4776,PPP3R1,5534,Unknown,bav095,Not Applicable
PPARD,5467,BCL6,604,Unknown,bav095,Not Applicable
RGS14,10636,GNAI2,2771,Unknown,bav095,Not Applicable
RUNX1T1,862,BCL6,604,Unknown,bav095,Not Applicable
SIN3A,25942,BCL6,604,Unknown,bav095,Not Applicable
STAT5A,6776,PPIB,5479,Unknown,bav095,Not Applicable
ZBTB16,7704,BCL6,604,Unknown,bav095,Not Applicable
ZBTB7A,51341,BCL6,604,Unknown,bav095,Not Applicable
ZNF165,7718,PDLIM7,9260,Unknown,bav095,Not Applicable
