#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
260247	8450	55832	114028	120937	-	-	CUL4B	CAND1	CUL-4B|MRXHF2|MRXS15|MRXSC|SFM2	TIP120|TIP120A	Affinity Capture-MS	physical	Min KW (2003)	PUBMED:12609982	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13620	K4DI93	NP_003579|NP_001317553|NP_001073341|NP_001356074	Q86VP6	-	NP_060918|NP_001316604|NP_001316605|NP_001316603	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260252	8450	55832	114028	120937	-	-	CUL4B	CAND1	CUL-4B|MRXHF2|MRXS15|MRXSC|SFM2	TIP120|TIP120A	Affinity Capture-Western	physical	Min KW (2003)	PUBMED:12609982	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13620	K4DI93	NP_003579|NP_001317553|NP_001073341|NP_001356074	Q86VP6	-	NP_060918|NP_001316604|NP_001316605|NP_001316603	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260257	55832	8450	120937	114028	-	-	CAND1	CUL4B	TIP120|TIP120A	CUL-4B|MRXHF2|MRXS15|MRXSC|SFM2	Affinity Capture-MS	physical	Min KW (2003)	PUBMED:12609982	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q86VP6	-	NP_060918|NP_001316604|NP_001316605|NP_001316603	Q13620	K4DI93	NP_003579|NP_001317553|NP_001073341|NP_001356074	-	-	-	-	-	-	Homo sapiens	Homo sapiens
281441	9978	8450	115301	114028	RP11-554C12.1	-	RBX1	CUL4B	BA554C12.1|RNF75|ROC1	CUL-4B|MRXHF2|MRXS15|MRXSC|SFM2	Affinity Capture-MS	physical	Dias DC (2002)	PUBMED:12481031	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	P62877	-	NP_055063	Q13620	K4DI93	NP_003579|NP_001317553|NP_001073341|NP_001356074	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
327993	8450	1642	114028	108009	-	-	CUL4B	DDB1	CUL-4B|MRXHF2|MRXS15|MRXSC|SFM2	DDBA|UV-DDB1|XAP1|XPCE|XPE|XPE-BF	Affinity Capture-Western	physical	Guerrero-Santoro J (2008)	PUBMED:18593899	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13620	K4DI93	NP_003579|NP_001317553|NP_001073341|NP_001356074	Q16531	-	NP_001914	-	-	-	-	-	-	Homo sapiens	Homo sapiens
327994	8450	1643	114028	108010	-	-	CUL4B	DDB2	CUL-4B|MRXHF2|MRXS15|MRXSC|SFM2	DDBB|UV-DDB2	Affinity Capture-Western	physical	Guerrero-Santoro J (2008)	PUBMED:18593899	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13620	K4DI93	NP_003579|NP_001317553|NP_001073341|NP_001356074	Q92466	-	NP_001287663|NP_000098	-	-	-	-	-	-	Homo sapiens	Homo sapiens
327995	8451	8450	114029	114028	RP11-391H12.1	-	CUL4A	CUL4B	-	CUL-4B|MRXHF2|MRXS15|MRXSC|SFM2	Affinity Capture-Western	physical	Guerrero-Santoro J (2008)	PUBMED:18593899	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13619	B2RBV7	NP_001341868|NP_001265443|NP_001341869|NP_001341871|NP_001341867|NP_001265442|NP_001008895|NP_003580|NP_001341870	Q13620	K4DI93	NP_003579|NP_001317553|NP_001073341|NP_001356074	-	-	-	-	-	-	Homo sapiens	Homo sapiens
327997	1643	8450	108010	114028	-	-	DDB2	CUL4B	DDBB|UV-DDB2	CUL-4B|MRXHF2|MRXS15|MRXSC|SFM2	Affinity Capture-Western	physical	Guerrero-Santoro J (2008)	PUBMED:18593899	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92466	-	NP_001287663|NP_000098	Q13620	K4DI93	NP_003579|NP_001317553|NP_001073341|NP_001356074	-	-	-	-	-	-	Homo sapiens	Homo sapiens
328000	1642	8450	108009	114028	-	-	DDB1	CUL4B	DDBA|UV-DDB1|XAP1|XPCE|XPE|XPE-BF	CUL-4B|MRXHF2|MRXS15|MRXSC|SFM2	Affinity Capture-Western	physical	Guerrero-Santoro J (2008)	PUBMED:18593899	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q16531	-	NP_001914	Q13620	K4DI93	NP_003579|NP_001317553|NP_001073341|NP_001356074	-	-	-	-	-	-	Homo sapiens	Homo sapiens
423487	10987	8450	116183	114028	-	-	COPS5	CUL4B	CSN5|JAB1|MOV-34|SGN5	CUL-4B|MRXHF2|MRXS15|MRXSC|SFM2	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	18.0	-	exogenous expression of bait	-	BIOGRID	Q92905	A0A024R7W9	NP_006828	Q13620	K4DI93	NP_003579|NP_001317553|NP_001073341|NP_001356074	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
