#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
568762	4311	25840	110455	117366	-	PRO0066	MME	METTL7A	CALLA|CD10|NEP|SFE	AAM-B	Affinity Capture-MS	physical	Dall'Era MA (2007)	PUBMED:17342744	9606	9606	High Throughput	-	-	-	-	BIOGRID	P08473	-	NP_009220|NP_000893|NP_009218|NP_009219	Q9H8H3	A0A024R118	NP_054752	DOID:10283|BTO:0002998	prostate cancer|LNCaP-C42B4 cell	disease|cell line	-|-	-|-	-|-	Homo sapiens	Homo sapiens
662943	1994	25840	108309	117366	-	PRO0066	ELAVL1	METTL7A	ELAV1|HUR|Hua|MelG	AAM-B	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	PUBMED:19322201	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15717	-	NP_001410	Q9H8H3	A0A024R118	NP_054752	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
1185493	26262	25840	117648	117366	-	PRO0066	TSPAN17	METTL7A	FBX23|FBXO23|TM4SF17	AAM-B	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.999997579	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999997579, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q96FV3	A0A024R7Q6|J3KNG2	NP_036303|NP_001006617|NP_569732	Q9H8H3	A0A024R118	NP_054752	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2222290	26262	25840	117648	117366	-	PRO0066	TSPAN17	METTL7A	FBX23|FBXO23|TM4SF17	AAM-B	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999994386	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999994386, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q96FV3	A0A024R7Q6|J3KNG2	NP_036303|NP_001006617|NP_569732	Q9H8H3	A0A024R118	NP_054752	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2232375	6252	25840	112165	117366	-	PRO0066	RTN1	METTL7A	NSP	AAM-B	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.998971395	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.998971395, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q16799	A8K3B9	NP_996734|NP_066959	Q9H8H3	A0A024R118	NP_054752	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2234103	56928	25840	121255	117366	-	PRO0066	SPPL2B	METTL7A	IMP-4|IMP4|PSH4|PSL1	AAM-B	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.998198587	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.998198587, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q8TCT7	-	NP_001070706|NP_694533	Q9H8H3	A0A024R118	NP_054752	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2234104	6541	25840	112432	117366	RP11-274A8.1	PRO0066	SLC7A1	METTL7A	ATRC1|CAT-1|ERR|HCAT1|REC1L	AAM-B	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.998198098	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.998198098, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	P30825	A0A024RDQ9	NP_003036	Q9H8H3	A0A024R118	NP_054752	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2493414	6047	25840	111974	117366	RES4-26	PRO0066	RNF4	METTL7A	SLX5|SNURF	AAM-B	Affinity Capture-MS	physical	Kumar R (2017)	PUBMED:29180619	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78317	-	NP_001171939|NP_001171938|NP_002929	Q9H8H3	A0A024R118	NP_054752	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2600813	7178	25840	113030	117366	RP11-290D2.1	PRO0066	TPT1	METTL7A	HRF|TCTP|p02|p23	AAM-B	Affinity Capture-MS	physical	Li Y (2017)	PUBMED:28846114	9606	9606	High Throughput	-	-	-	-	BIOGRID	P13693	A0A024RDY2	NP_001273201|NP_001273202|NP_003286	Q9H8H3	A0A024R118	NP_054752	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2608107	7182	25840	113034	117366	-	PRO0066	NR2C2	METTL7A	TAK1|TR4	AAM-B	Affinity Capture-MS	physical	Yu L (2018)	PUBMED:30463901	9606	9606	High Throughput	-	-	assayed using BioID (proximity-dependent biotin identification)	-	BIOGRID	P49116	F2YGU2	NP_001278623|NP_003289	Q9H8H3	A0A024R118	NP_054752	-	-	-	-	-	-	Homo sapiens	Homo sapiens
