#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
7317	10287	2771	115576	109033	-	-	RGS19	GNAI2	GAIP|RGSGAIP	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	Two-hybrid	physical	De Vries L (1996)	PUBMED:8986788	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P49795	B4DP94	NP_001034556|NP_005864	P04899	B3KX51|B3KP24	NP_001159897|NP_002061|NP_001269548|NP_001269549|NP_001269546|NP_001269547	-	-	-	-	-	-	Homo sapiens	Homo sapiens
119752	2771	4188	109033	110353	-	RP4-696P19.1	GNAI2	MDFI	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	I-MF|I-mfa	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P04899	B3KX51|B3KP24	NP_001159897|NP_002061|NP_001269548|NP_001269549|NP_001269546|NP_001269547	Q99750	A0A024RCY2|B1AKB6	NP_005577|NP_001287735|NP_001287734|NP_001287733	-	-	-	-	-	-	Homo sapiens	Homo sapiens
120172	2771	5359	109033	111373	-	-	GNAI2	PLSCR1	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	MMTRA1B	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P04899	B3KX51|B3KP24	NP_001159897|NP_002061|NP_001269548|NP_001269549|NP_001269546|NP_001269547	O15162	-	NP_001350801|NP_001350803|NP_066928	-	-	-	-	-	-	Homo sapiens	Homo sapiens
126270	2771	4188	109033	110353	-	RP4-696P19.1	GNAI2	MDFI	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	I-MF|I-mfa	Affinity Capture-Western	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P04899	B3KX51|B3KP24	NP_001159897|NP_002061|NP_001269548|NP_001269549|NP_001269546|NP_001269547	Q99750	A0A024RCY2|B1AKB6	NP_005577|NP_001287735|NP_001287734|NP_001287733	-	-	-	-	-	-	Homo sapiens	Homo sapiens
258783	7265	2771	113116	109033	-	-	TTC1	GNAI2	TPR1	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	Affinity Capture-Western	physical	Marty C (2003)	PUBMED:12748287	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99614	-	NP_001269429|NP_003305	P04899	B3KX51|B3KP24	NP_001159897|NP_002061|NP_001269548|NP_001269549|NP_001269546|NP_001269547	-	-	-	-	-	-	Homo sapiens	Homo sapiens
258785	29899	2771	118949	109033	RP11-475E11.4	-	GPSM2	GNAI2	CMCS|DFNB82|LGN|PINS	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	Affinity Capture-Western	physical	Marty C (2003)	PUBMED:12748287	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P81274	A0A024R0F8	NP_001307967|NP_037428|NP_001307968	P04899	B3KX51|B3KP24	NP_001159897|NP_002061|NP_001269548|NP_001269549|NP_001269546|NP_001269547	-	-	-	-	-	-	Homo sapiens	Homo sapiens
270369	2771	22142	109033	204372	-	-	GNAI2	Tuba1a	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	Tuba-1|Tuba1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	10090	High Throughput	2.0	-	-	-	BIOGRID	P04899	B3KX51|B3KP24	NP_001159897|NP_002061|NP_001269548|NP_001269549|NP_001269546|NP_001269547	P68369	-	NP_035783	-	-	-	-	-	-	Homo sapiens	Mus musculus
276158	1268	2771	107668	109033	RP1-23D17.1	-	CNR1	GNAI2	CANN6|CB-R|CB1|CB1A|CB1K5|CB1R|CNR	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	Affinity Capture-Western	physical	Mukhopadhyay S (2001)	PUBMED:11168387	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P21554	V5KA96|S5TLS4	NP_001153698|NP_149421|NP_057167|NP_001153731|NP_001153730	P04899	B3KX51|B3KP24	NP_001159897|NP_002061|NP_001269548|NP_001269549|NP_001269546|NP_001269547	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277975	2771	4924	109033	110978	-	-	GNAI2	NUCB1	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	CALNUC|NUC	Two-hybrid	physical	Lin P (1998)	PUBMED:9647645	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04899	B3KX51|B3KP24	NP_001159897|NP_002061|NP_001269548|NP_001269549|NP_001269546|NP_001269547	Q02818	A8K7Q1	NP_006175	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280095	4543	2771	110639	109033	-	-	MTNR1A	GNAI2	MEL-1A-R|MT1	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	Affinity Capture-Western	physical	Brydon L (1999)	PUBMED:10598579	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P48039	-	NP_005949	P04899	B3KX51|B3KP24	NP_001159897|NP_002061|NP_001269548|NP_001269549|NP_001269546|NP_001269547	-	-	-	-	-	-	Homo sapiens	Homo sapiens
