#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
242199	5878	25777	111816	117312	-	RP3-508I15.15-002	RAB5C	SUN2	L1880|RAB5CL|RAB5L|RABL	UNC84B	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.384	-	Exogenous expression of bait	-	BIOGRID	P51148	A0A024R1U4	NP_001238968|NP_004574|NP_958842	Q9UH99	B4E2A6|A0A024R1P7	NP_001186508|NP_001186509|NP_056189	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
242553	55644	5878	120779	111816	-	-	OSGEP	RAB5C	GCPL1|KAE1|OSGEP1|PRSMG1	L1880|RAB5CL|RAB5L|RABL	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.356	-	Exogenous expression of bait	-	BIOGRID	Q9NPF4	-	NP_060277	P51148	A0A024R1U4	NP_001238968|NP_004574|NP_958842	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
243012	409	5878	106902	111816	-	-	ARRB2	RAB5C	ARB2|ARR2|BARR2	L1880|RAB5CL|RAB5L|RABL	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.323	-	Exogenous expression of bait	-	BIOGRID	P32121	K7ENA6|Q68DZ5|Q59EM5	NP_001244257|NP_001244259|NP_001244258|NP_001316993|NP_001244260|NP_004304|NP_945355	P51148	A0A024R1U4	NP_001238968|NP_004574|NP_958842	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
243029	25778	5878	117313	111816	HDCMD38P	-	DSTYK	RAB5C	CAKUT1|DustyPK|RIP5|RIPK5	L1880|RAB5CL|RAB5L|RABL	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.322	-	Exogenous expression of bait	-	BIOGRID	Q6XUX3	-	NP_056190|NP_955749	P51148	A0A024R1U4	NP_001238968|NP_004574|NP_958842	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
304387	5878	8411	111816	113999	-	-	RAB5C	EEA1	L1880|RAB5CL|RAB5L|RABL	MST105|MSTP105|ZFYVE2	Reconstituted Complex	physical	Merithew E (2003)	PUBMED:12493736	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P51148	A0A024R1U4	NP_001238968|NP_004574|NP_958842	Q15075	-	NP_003557	-	-	-	-	-	-	Homo sapiens	Homo sapiens
304388	5878	64145	111816	122084	-	-	RAB5C	RBSN	L1880|RAB5CL|RAB5L|RABL	Rabenosyn-5|ZFYVE20	Reconstituted Complex	physical	Merithew E (2003)	PUBMED:12493736	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P51148	A0A024R1U4	NP_001238968|NP_004574|NP_958842	Q9H1K0	A0A024R2H4	NP_001289307|NP_071735	-	-	-	-	-	-	Homo sapiens	Homo sapiens
577769	19345	5878	202549	111816	RP23-390D17.8	-	Rab5c	RAB5C	AI326010|Rabl	L1880|RAB5CL|RAB5L|RABL	Affinity Capture-MS	physical	Hutchins JR (2010)	PUBMED:20360068	10090	9606	High Throughput	-	-	-	-	BIOGRID	P35278	Q3TJ39|Q8C266	NP_001291932|NP_077776	P51148	A0A024R1U4	NP_001238968|NP_004574|NP_958842	-	-	-	-	-	-	Mus musculus	Homo sapiens
688712	1017	5878	107452	111816	-	-	CDK2	RAB5C	CDKN2|p33(CDK2)	L1880|RAB5CL|RAB5L|RABL	Affinity Capture-MS	physical	Neganova I (2011)	PUBMED:21319273	9606	9606	High Throughput	-	-	figure 6, table S2.	-	BIOGRID	P24941	A0A024RB77|A0A024RB10|B4DDL9|E7ESI2	NP_001789|NP_439892|NP_001277159	P51148	A0A024R1U4	NP_001238968|NP_004574|NP_958842	BTO:0001086	embryonic stem cell	cell type	-	-	-	Homo sapiens	Homo sapiens
696700	27352	5878	118164	111816	RP5-1042K10.9	-	SGSM3	RAB5C	MAP|RABGAP5|RUSC3|RUTBC3|RabGAP-5|rabGAPLP	L1880|RAB5CL|RAB5L|RABL	Two-hybrid	physical	Itoh T (2006)	PUBMED:16923123	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96HU1	B9A6J5|B4DMS2|B4DVE3	NP_001336972|NP_001336969|NP_001336970|NP_001336971|NP_001336976|NP_001336968|NP_001288778|NP_001336975|NP_001336974|NP_001336973|NP_056520	P51148	A0A024R1U4	NP_001238968|NP_004574|NP_958842	-	-	-	-	-	-	Homo sapiens	Homo sapiens
696705	64786	5878	122296	111816	-	-	TBC1D15	RAB5C	RAB7-GAP	L1880|RAB5CL|RAB5L|RABL	Two-hybrid	physical	Itoh T (2006)	PUBMED:16923123	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8TC07	A8K8E1	NP_001139686|NP_001139685|NP_001372777|NP_001372778|NP_001372779|NP_001372781|NP_001372780|NP_001372783|NP_001372782|NP_073608	P51148	A0A024R1U4	NP_001238968|NP_004574|NP_958842	-	-	-	-	-	-	Homo sapiens	Homo sapiens
696708	79735	5878	122849	111816	-	-	TBC1D17	RAB5C	-	L1880|RAB5CL|RAB5L|RABL	Two-hybrid	physical	Itoh T (2006)	PUBMED:16923123	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9HA65	-	NP_001161694|NP_078958	P51148	A0A024R1U4	NP_001238968|NP_004574|NP_958842	-	-	-	-	-	-	Homo sapiens	Homo sapiens
