#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
886720	495	6856	106985	112722	-	-	ATP4A	SYPL1	ATP6A	H-SP1|SYPL	Affinity Capture-MS	physical	Lapierre LA (2007)	PUBMED:17255364	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20648	Q658V6	NP_000695	Q16563	A4D0R1	NP_006745|NP_874384	BTO:0004109	fundic mucosa	tissue	-	-	-	Homo sapiens	Homo sapiens
886802	495	6856	106985	112722	-	-	ATP4A	SYPL1	ATP6A	H-SP1|SYPL	Affinity Capture-Western	physical	Lapierre LA (2007)	PUBMED:17255364	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P20648	Q658V6	NP_000695	Q16563	A4D0R1	NP_006745|NP_874384	BTO:0004109	fundic mucosa	tissue	-	-	-	Homo sapiens	Homo sapiens
2197775	375743	6856	131995	112722	RP11-109D9.2	-	PTAR1	SYPL1	-	H-SP1|SYPL	Synthetic Lethality	genetic	Blomen VA (2015)	PUBMED:26472760	9606	9606	Low Throughput	-	-	Aphenotypic negative genetic interaction (Synonym: Synthetic)|The authors note that their method cannot clearly distinguish between synthetic lethal or synthetic sick interactions (Figure 3B).	-	BIOGRID	Q7Z6K3	-	NP_001093136	Q16563	A4D0R1	NP_006745|NP_874384	HP:0001507	Growth abnormality	phenotype	-	-	-	Homo sapiens	Homo sapiens
2222442	6856	8673	112722	114221	-	-	SYPL1	VAMP8	H-SP1|SYPL	EDB|VAMP-8	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999993692	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999993692, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q16563	A4D0R1	NP_006745|NP_874384	Q9BV40	-	NP_003752	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2226064	6856	9341	112722	114747	-	-	SYPL1	VAMP3	H-SP1|SYPL	CEB	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.99993168	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.99993168, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q16563	A4D0R1	NP_006745|NP_874384	Q15836	Q6FGG2	NP_004772	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2228586	6856	6844	112722	112711	-	-	SYPL1	VAMP2	H-SP1|SYPL	SYB2|VAMP-2	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.999758124	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999758124, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q16563	A4D0R1	NP_006745|NP_874384	P63027	F8WCA0	NP_001317054|NP_055047	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2262404	6856	3958	112722	110149	-	-	SYPL1	LGALS3	H-SP1|SYPL	CBP35|GAL3|GALBP|GALIG|L31|LGALS2|MAC2	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.86749192	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.86749192, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q16563	A4D0R1	NP_006745|NP_874384	P17931	A0A024R693	NP_002297|NP_001170859	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2377091	7706	6856	113500	112722	-	-	TRIM25	SYPL1	EFP|RNF147|Z147|ZNF147	H-SP1|SYPL	Affinity Capture-MS	physical	Choudhury NR (2017)	PUBMED:29117863	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q14258	-	NP_005073	Q16563	A4D0R1	NP_006745|NP_874384	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2381864	4000	6856	110186	112722	RP11-54H19.1	-	LMNA	SYPL1	CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|PRO1	H-SP1|SYPL	Two-hybrid	physical	Dittmer TA (2014)	PUBMED:24623722	9606	9606	High Throughput	-	-	-	-	BIOGRID	P02545	Q5TCI8	NP_001244303|NP_005563|NP_733821|NP_733822|NP_001269553|NP_001269555|NP_001269554	Q16563	A4D0R1	NP_006745|NP_874384	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2567125	25962	6856	117452	112722	MSTP054	-	KIAA1429	SYPL1	fSAP121	H-SP1|SYPL	Affinity Capture-MS	physical	Yue Y (2018)	PUBMED:29507755	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q69YN4	-	NP_056311|NP_892121	Q16563	A4D0R1	NP_006745|NP_874384	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2615460	1445	6856	107832	112722	-	-	CSK	SYPL1	-	H-SP1|SYPL	Synthetic Lethality	genetic	Xiao T (2018)	PUBMED:29987050	9606	9606	High Throughput	-	-	CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05	-	BIOGRID	P41240	B2R6Q4|A8K3B6	NP_001120662|NP_004374|NP_001341917	Q16563	A4D0R1	NP_006745|NP_874384	HP:0001507|PATO:0000169	Growth abnormality|viability	phenotype|phenotype	-|-	-|-	-|-	Homo sapiens	Homo sapiens
2630863	6856	56993	112722	121308	-	-	SYPL1	TOMM22	H-SP1|SYPL	1C9-2|MST065|MSTP065|TOM22	Co-fractionation	physical	Moutaoufik MT (2019)	PUBMED:31536960	9606	9606	High Throughput	1.492356846	-	Protein pairs with Sigma LLS score >= 1.45 derived from NTera2 retinoic acid (RA)-induced differentiated neuronal-like cells (DNLCs)	-	BIOGRID	Q16563	A4D0R1	NP_006745|NP_874384	Q9NS69	Q549C5	NP_064628	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2691475	83639	6856	123703	112722	UNQ867/PRO1884	-	TEX101	SYPL1	CT131|GTPR867|NYD-SP8|PRO1884|SGRG|SPATA44|TES101RP	H-SP1|SYPL	Affinity Capture-MS	physical	Schiza C (2018)	PUBMED:30097533	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9BY14	A0A024R0T7	NP_001123483|NP_113639	Q16563	A4D0R1	NP_006745|NP_874384	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2694534	6856	79863	112722	122951	-	-	SYPL1	RBFA	H-SP1|SYPL	C18orf22|HsT169	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q16563	A4D0R1	NP_006745|NP_874384	Q8N0V3	-	NP_079081|NP_001165438	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2694535	6856	10105	112722	115411	-	RP11-342M3.4	SYPL1	PPIF	H-SP1|SYPL	CYP3|CyP-M|Cyp-D|CypD	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q16563	A4D0R1	NP_006745|NP_874384	P30405	A0A024QZS4	NP_005720	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2694536	6856	6386	112722	112287	-	-	SYPL1	SDCBP	H-SP1|SYPL	MDA-9|MDA9|ST1|SYCL|TACIP18	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q16563	A4D0R1	NP_006745|NP_874384	O00560	A0A024R7Z5|G5EA09	NP_005616|NP_001335269|NP_001335268|NP_001335270|NP_001317466|NP_001007069|NP_001007068|NP_001007070|NP_001007071	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2694537	6856	117286	112722	125586	-	-	SYPL1	CIB3	H-SP1|SYPL	KIP3	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q16563	A4D0R1	NP_006745|NP_874384	Q96Q77	-	NP_473454|NP_001287851	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2694538	6856	80222	112722	123188	-	RP11-54A4.9	SYPL1	TARS2	H-SP1|SYPL	COXPD21|TARSL1|thrRS	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q16563	A4D0R1	NP_006745|NP_874384	Q9BW92	U3KQG0	NP_079426|NP_001258825|NP_001258824	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2694539	6856	5090	112722	111123	-	RP11-336P12.1	SYPL1	PBX3	H-SP1|SYPL	-	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q16563	A4D0R1	NP_006745|NP_874384	P40426	Q5JS98|Q96AL5	NP_006186|NP_001128250	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2694540	6856	165100	112722	127908	-	-	SYPL1	C2orf57	H-SP1|SYPL	-	Two-hybrid	physical	Luck K (2020)	PUBMED:32296183	9606	9606	High Throughput	-	-	This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.	-	BIOGRID	Q16563	A4D0R1	NP_006745|NP_874384	Q53QW1	-	NP_689827	-	-	-	-	-	-	Homo sapiens	Homo sapiens
