#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
317249	7112	84823	112967	124281	-	-	TMPO	LMNB2	CMD1T|LAP2|LEMD4|PRO0868|TP	LAMB2|LMN2	Two-hybrid	physical	Furukawa K (1998)	PUBMED:9490046	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P42166|P42167	Q59G12|A0A024RBH7|A0A024RBE7|G5E972	NP_001294904|NP_001027454|NP_001027455|NP_003267	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
467681	8815	84823	114342	124281	-	-	BANF1	LMNB2	BAF|BCRP1|D14S1460|NGPS	LAMB2|LMN2	Affinity Capture-MS	physical	Montes de Oca R (2009)	PUBMED:19759913	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75531	A0A024R5H0	NP_001137457|NP_003851	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
604565	6840	84823	112707	124281	RP11-534G20.1	-	SVIL	LMNB2	-	LAMB2|LMN2	Two-hybrid	physical	Smith TC (2010)	PUBMED:20309963	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O95425	Q569J5	NP_003165|NP_001310529|NP_001310528|NP_068506	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
663601	1994	84823	108309	124281	-	-	ELAVL1	LMNB2	ELAV1|HUR|Hua|MelG	LAMB2|LMN2	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	PUBMED:19322201	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15717	-	NP_001410	Q03252	J9JID7	NP_116126	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
667469	51547	84823	119602	124281	-	-	SIRT7	LMNB2	SIR2L7	LAMB2|LMN2	Affinity Capture-MS	physical	Tsai YC (2012)	PUBMED:22586326	9606	9606	High Throughput	-	-	exogenous expression of bait|figure 2, table S1.	-	BIOGRID	Q9NRC8	-	NP_057622	Q03252	J9JID7	NP_116126	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
817326	7415	84823	113258	124281	-	-	VCP	LMNB2	ALS14|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97	LAMB2|LMN2	Affinity Capture-MS	physical	Yu CC (2013)	PUBMED:23383273	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	P55072	Q96IF9|V9HW80	NP_009057|NP_001341857|NP_001341856	Q03252	J9JID7	NP_116126	BTO:0001007	AGS cell	cell line	DOID:3717	gastric adenocarcinoma	-	Homo sapiens	Homo sapiens
859608	9924	84823	115252	124281	-	-	PAN2	LMNB2	USP52	LAMB2|LMN2	Affinity Capture-MS	physical	Bett JS (2013)	PUBMED:23398456	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	Q504Q3	-	NP_055686|NP_001120932|NP_001159751	Q03252	J9JID7	NP_116126	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
871690	4000	84823	110186	124281	RP11-54H19.1	-	LMNA	LMNB2	CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|PRO1	LAMB2|LMN2	Proximity Label-MS	physical	Roux KJ (2012)	PUBMED:22412018	9606	9606	High Throughput	-	-	-	-	BIOGRID	P02545	Q5TCI8	NP_001244303|NP_005563|NP_733821|NP_733822|NP_001269553|NP_001269555|NP_001269554	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941745	114928	84823	125399	124281	RP4-769N13.4	-	GPRASP2	LMNB2	GASP2	LAMB2|LMN2	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q96D09	B3KW05	NP_001004051|NP_001171803|NP_001171805|NP_001171804|NP_612446	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1057823	9820	84823	115159	124281	-	-	CUL7	LMNB2	3M1|KIAA0076|dJ20C7.5	LAMB2|LMN2	Affinity Capture-MS	physical	Hanson D (2014)	PUBMED:24711643	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q14999	-	NP_001361802|NP_001361803|NP_001161842|NP_001361801|NP_055595	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1058422	23363	84823	116944	124281	-	-	OBSL1	LMNB2	-	LAMB2|LMN2	Affinity Capture-MS	physical	Hanson D (2014)	PUBMED:24711643	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75147	Q9H8B3	NP_001166902|NP_056126|NP_001166879	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1059008	83987	84823	123838	124281	-	-	CCDC8	LMNB2	3M3|PPP1R20|p90	LAMB2|LMN2	Affinity Capture-MS	physical	Hanson D (2014)	PUBMED:24711643	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9H0W5	G8IFA7	NP_114429	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1062983	23512	84823	117059	124281	-	-	SUZ12	LMNB2	CHET9|JJAZ1	LAMB2|LMN2	Affinity Capture-MS	physical	Cao Q (2014)	PUBMED:24457600	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15022	J3QQW9|A8K1U9	NP_001308136|NP_056170	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1063451	8726	84823	114265	124281	-	-	EED	LMNB2	HEED|WAIT1	LAMB2|LMN2	Affinity Capture-MS	physical	Cao Q (2014)	PUBMED:24457600	9606	9606	High Throughput	-	-	-	-	BIOGRID	O75530	E9PJK2	NP_001294936|NP_694536|NP_003788	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1063653	6045	84823	111972	124281	GS1-120K12.1	-	RNF2	LMNB2	BAP-1|BAP1|DING|HIPI3|RING1B|RING2	LAMB2|LMN2	Affinity Capture-MS	physical	Cao Q (2014)	PUBMED:24457600	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q99496	-	NP_009143	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1173268	6059	84823	111986	124281	OK/SW-cl.40	-	ABCE1	LMNB2	ABC38|OABP|RLI|RNASEL1|RNASELI|RNS4I	LAMB2|LMN2	Affinity Capture-MS	physical	Kaerblane K (2015)	PUBMED:25659154	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P61221	-	NP_001035809|NP_002931	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1180436	54952	84823	120290	124281	RP4-669K10.4	-	TRNAU1AP	LMNB2	PRO1902|SECP43|TRSPAP1	LAMB2|LMN2	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.750412502	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.750412502, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	Q9NX07	-	NP_060316	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1187461	4000	84823	110186	124281	RP11-54H19.1	-	LMNA	LMNB2	CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|PRO1	LAMB2|LMN2	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.966929249	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.966929249, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	P02545	Q5TCI8	NP_001244303|NP_005563|NP_733821|NP_733822|NP_001269553|NP_001269555|NP_001269554	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1194267	2342	84823	108627	124281	-	-	FNTB	LMNB2	FPTB	LAMB2|LMN2	Affinity Capture-MS	physical	Huttlin EL (2015)	PUBMED:26186194	9606	9606	High Throughput	0.997261042	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.997261042, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID	P49356	-	NP_002019	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1238084	6659	84823	112542	124281	-	-	SOX4	LMNB2	EVI16	LAMB2|LMN2	Two-hybrid	physical	Jang SM (2015)	PUBMED:25969425	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q06945	-	NP_003098	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1238094	84823	6659	124281	112542	-	-	LMNB2	SOX4	LAMB2|LMN2	EVI16	Affinity Capture-Western	physical	Jang SM (2015)	PUBMED:25969425	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q03252	J9JID7	NP_116126	Q06945	-	NP_003098	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1264163	6993	84823	112853	124281	RP11-114M11.1	-	DYNLT1	LMNB2	CW-1|TCTEL1|tctex-1	LAMB2|LMN2	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.165392538	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	P63172	-	NP_006510|NP_001278532|NP_001278531	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1264316	84823	5594	124281	111580	-	-	LMNB2	MAPK1	LAMB2|LMN2	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.089342308	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q03252	J9JID7	NP_116126	P28482	Q1HBJ4|Q499G7	NP_002736|NP_620407	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1264323	84823	5595	124281	111581	-	-	LMNB2	MAPK3	LAMB2|LMN2	ERK-1|ERK1|ERT2|HS44KDAP|HUMKER1A|P44ERK1|P44MAPK|PRKM3|p44-ERK1|p44-MAPK	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.164208585	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q03252	J9JID7	NP_116126	P27361	Q9BWJ1|L7RXH5	NP_002737|NP_001103361|NP_001035145	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1275419	4914	84823	110969	124281	-	-	NTRK1	LMNB2	MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA	LAMB2|LMN2	Affinity Capture-MS	physical	Emdal KB (2015)	PUBMED:25921289	9606	9606	High Throughput	-	-	-	-	BIOGRID	P04629	X5DR71	NP_001007793|NP_002520|NP_001012331	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1415794	57763	84823	121758	124281	-	-	ANKRA2	LMNB2	ANKRA	LAMB2|LMN2	Affinity Capture-MS	physical	Nie J (2015)	PUBMED:25752541	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9H9E1	A0A024RAN7	NP_075526	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1415809	8625	84823	114180	124281	-	-	RFXANK	LMNB2	ANKRA1|BLS|F14150_1|RFX-B	LAMB2|LMN2	Affinity Capture-MS	physical	Nie J (2015)	PUBMED:25752541	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14593	A0A024R7M1|A0A024R7P0	NP_604389|NP_001265656|NP_001265657|NP_003712	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1428864	8924	84823	114438	124281	-	-	HERC2	LMNB2	D15F37S1|MRT38|SHEP1|jdf2|p528	LAMB2|LMN2	Affinity Capture-MS	physical	Galligan JT (2015)	PUBMED:25476789	9606	9606	High Throughput	-	-	-	-	BIOGRID	O95714	A8KAQ8	NP_004658	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1456880	7283	84823	113134	124281	-	-	TUBG1	LMNB2	CDCBM4|GCP-1|TUBG|TUBGCP1	LAMB2|LMN2	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	P23258	-	NP_001061	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1456881	51780	84823	119727	124281	-	-	KDM3B	LMNB2	5qNCA|C5orf7|JMJD1B|NET22	LAMB2|LMN2	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q7LBC6	-	NP_057688	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1456882	123169	84823	125817	124281	-	-	LEO1	LMNB2	RDL	LAMB2|LMN2	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	9606	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	Q8WVC0	-	NP_001273359|NP_001310833|NP_001310832|NP_620147	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1470649	16905	84823	201176	124281	-	-	Lmna	LMNB2	Dhe	LAMB2|LMN2	Affinity Capture-MS	physical	Hein MY (2015)	PUBMED:26496610	10090	9606	High Throughput	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID	P48678	-	NP_001002011|NP_062263|NP_001104572	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Mus musculus	Homo sapiens
1506701	3171	84823	109413	124281	-	-	FOXA3	LMNB2	FKHH3|HNF3G|TCF3G	LAMB2|LMN2	Affinity Capture-MS	physical	Li X (2015)	PUBMED:25609649	9606	9606	High Throughput	-	-	High-confidence interactions	-	BIOGRID	P55318	A0A024R0R3	NP_004488	Q03252	J9JID7	NP_116126	-	-	-	-	-	-	Homo sapiens	Homo sapiens
