#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
607423	7979	29901	113692	118950	-	-	SHFM1	SAC3D1	DSS1|ECD|SEM1|SHFD1|SHSF1|Shfdg1	HSU79266|SHD1	Affinity Capture-MS	physical	Baillat D (2005)	PUBMED:16239144	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P60896	Q6IBB7	NP_006295	-	F8WC89	NP_037431|NP_001354414	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1260858	29901	1654	118950	108020	-	-	SAC3D1	DDX3X	HSU79266|SHD1	CAP-Rf|DBX|DDX14|DDX3|HLP2	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.070311875	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	-	F8WC89	NP_037431|NP_001354414	O00571	-	NP_001180346|NP_001180345|NP_001350748|NP_001347	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1271620	84259	29901	123986	118950	RP11-690D19.3	-	DCUN1D5	SAC3D1	-	HSU79266|SHD1	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.083203365	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q9BTE7	A0A024R3A2|B4DP84	NP_001305668|NP_001305669|NP_115675|NP_001305670	-	F8WC89	NP_037431|NP_001354414	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1271621	3069	29901	109319	118950	-	-	HDLBP	SAC3D1	HBP|PRO2900|VGL	HSU79266|SHD1	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.094993027	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q00341	A0A024R4E5	NP_001307895|NP_005327|NP_001230829|NP_001307894|NP_001307896|NP_976221	-	F8WC89	NP_037431|NP_001354414	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1271622	7268	29901	113119	118950	RP5-1043G4.2	-	TTC4	SAC3D1	-	HSU79266|SHD1	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.142387231	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	O95801	-	NP_001278262|NP_004614	-	F8WC89	NP_037431|NP_001354414	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1271623	51699	29901	119683	118950	DC7	-	VPS29	SAC3D1	DC15|PEP11	HSU79266|SHD1	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.108072503	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q9UBQ0	F8VXU5	NP_001269080|NP_057310|NP_001269079|NP_476528	-	F8WC89	NP_037431|NP_001354414	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1271624	55737	29901	120855	118950	TCCCTA00141	-	VPS35	SAC3D1	MEM3|PARK17	HSU79266|SHD1	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.130051506	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	Q96QK1	-	NP_060676	-	F8WC89	NP_037431|NP_001354414	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1274405	29901	9559	118950	114930	-	-	SAC3D1	VPS26A	HSU79266|SHD1	HB58|Hbeta58|PEP8A|VPS26	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.070555301	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	-	F8WC89	NP_037431|NP_001354414	O75436	-	NP_001030337|NP_001305873|NP_004887|NP_001305875|NP_001305874	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1274550	29901	11091	118950	116272	-	-	SAC3D1	WDR5	HSU79266|SHD1	BIG-3|CFAP89|SWD3	Co-fractionation	physical	Wan C (2015)	PUBMED:26344197	9606	9606	High Throughput	0.074960751	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID	-	F8WC89	NP_037431|NP_001354414	P61964	-	NP_001371340|NP_060058|NP_001371342|NP_001371343|NP_001371344|NP_001371341|NP_001371346|NP_001371347|NP_001371348|NP_001371339|NP_001371338|NP_438172|NP_001371345	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2236812	260429	29901	129278	118950	-	-	PRSS33	SAC3D1	EOS	HSU79266|SHD1	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.996211681	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.996211681, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	Q8NF86	-	NP_690851	-	F8WC89	NP_037431|NP_001354414	-	-	-	-	-	-	Homo sapiens	Homo sapiens
