#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
4648	5479	819	111475	107269	-	-	PPIB	CAMLG	CYP-S1|CYPB|HEL-S-39|OI9|SCYLP	CAML	Two-hybrid	physical	Bram RJ (1994)	PUBMED:7522304	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P23284	-	NP_000933	P49069	-	NP_001736	-	-	-	-	-	-	Homo sapiens	Homo sapiens
241797	51643	5479	119653	111475	CGI-119	-	TMBIM4	PPIB	GAAP|LFG4|S1R|ZPRO	CYP-S1|CYPB|HEL-S-39|OI9|SCYLP	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.441	-	Exogenous expression of bait	-	BIOGRID	Q9HC24	Q7Z782|G3XAA5|Q9HC19|G3V1M2	NP_001269535|NP_001269539|NP_057140|NP_001269538	P23284	-	NP_000933	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
243307	7428	5479	113269	111475	-	-	VHL	PPIB	HRCA1|RCA1|VHL1|pVHL	CYP-S1|CYPB|HEL-S-39|OI9|SCYLP	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.3	-	Exogenous expression of bait	-	BIOGRID	P40337	A0A024R2F2	NP_000542|NP_937799	P23284	-	NP_000933	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
303392	338	5479	106835	111475	-	-	APOB	PPIB	FLDB|LDLCQ4	CYP-S1|CYPB|HEL-S-39|OI9|SCYLP	Affinity Capture-Western	physical	Zhang J (2003)	PUBMED:12397072	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04114	Q59HB3|Q7Z7Q0	NP_000375	P23284	-	NP_000933	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303396	338	5479	106835	111475	-	-	APOB	PPIB	FLDB|LDLCQ4	CYP-S1|CYPB|HEL-S-39|OI9|SCYLP	Co-fractionation	physical	Zhang J (2003)	PUBMED:12397072	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04114	Q59HB3|Q7Z7Q0	NP_000375	P23284	-	NP_000933	-	-	-	-	-	-	Homo sapiens	Homo sapiens
305358	5617	5479	111602	111475	RP3-404K8.1	-	PRL	PPIB	-	CYP-S1|CYPB|HEL-S-39|OI9|SCYLP	Affinity Capture-Western	physical	Rycyzyn MA (2000)	PUBMED:10935542	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P01236	Q5THQ0	NP_001157030|NP_000939	P23284	-	NP_000933	-	-	-	-	-	-	Homo sapiens	Homo sapiens
305359	5617	5479	111602	111475	RP3-404K8.1	-	PRL	PPIB	-	CYP-S1|CYPB|HEL-S-39|OI9|SCYLP	Reconstituted Complex	physical	Rycyzyn MA (2000)	PUBMED:10935542	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P01236	Q5THQ0	NP_001157030|NP_000939	P23284	-	NP_000933	-	-	-	-	-	-	Homo sapiens	Homo sapiens
305360	5617	5479	111602	111475	RP3-404K8.1	-	PRL	PPIB	-	CYP-S1|CYPB|HEL-S-39|OI9|SCYLP	Two-hybrid	physical	Rycyzyn MA (2000)	PUBMED:10935542	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P01236	Q5THQ0	NP_001157030|NP_000939	P23284	-	NP_000933	-	-	-	-	-	-	Homo sapiens	Homo sapiens
423244	27005	5479	117950	111475	RP11-297K8.3	-	USP21	PPIB	USP16|USP23	CYP-S1|CYPB|HEL-S-39|OI9|SCYLP	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	2.7	-	exogenous expression of bait	-	BIOGRID	Q9UK80	-	NP_001014443|NP_036607|NP_001306777|NP_001306776	P23284	-	NP_000933	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
423245	57599	5479	121649	111475	-	-	WDR48	PPIB	P80|SPG60|UAF1	CYP-S1|CYPB|HEL-S-39|OI9|SCYLP	Affinity Capture-MS	physical	Sowa ME (2009)	PUBMED:19615732	9606	9606	High Throughput	2.5	-	exogenous expression of bait	-	BIOGRID	Q8TAF3	A0A024R2L1	NP_001333157|NP_001333156|NP_001333155|NP_001333154|NP_001290332|NP_001290331|NP_065890	P23284	-	NP_000933	BTO:0000007	HEK-293 cell	cell line	BTO:0000414	epithelial cell	-	Homo sapiens	Homo sapiens
