#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
739816	83442	351	123644	106848	RP11-569G9.2	-	SH3BGRL3	APP	HEL-S-297|SH3BP-1|TIP-B1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	PUBMED:21832049	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9H299	-	NP_112576	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
750584	266971	83442	129352	123644	RP11-429H9.6	RP11-569G9.2	PIPSL	SH3BGRL3	PIP5K1L1|PIP5K1P3|PSMD4P2|bA429H9.1	HEL-S-297|SH3BP-1|TIP-B1	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.814	-	Denoised score >= 0.75	-	BIOGRID	-	-	-	Q9H299	-	NP_112576	-	-	-	-	-	-	Homo sapiens	Homo sapiens
753140	83442	9960	123644	115285	RP11-569G9.2	-	SH3BGRL3	USP3	HEL-S-297|SH3BP-1|TIP-B1	SIH003|UBP	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.77	-	Denoised score >= 0.75	-	BIOGRID	Q9H299	-	NP_112576	Q9Y6I4	-	NP_006528|NP_001243631	-	-	-	-	-	-	Homo sapiens	Homo sapiens
753306	83442	6814	123644	112683	RP11-569G9.2	-	SH3BGRL3	STXBP3	HEL-S-297|SH3BP-1|TIP-B1	MUNC18-3|MUNC18C|PSP|UNC-18C	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.767	-	Denoised score >= 0.75	-	BIOGRID	Q9H299	-	NP_112576	O00186	-	NP_009200	-	-	-	-	-	-	Homo sapiens	Homo sapiens
753313	10768	83442	115987	123644	-	RP11-569G9.2	AHCYL1	SH3BGRL3	DCAL|IRBIT|PPP1R78|PRO0233|XPVKONA	HEL-S-297|SH3BP-1|TIP-B1	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.767	-	Denoised score >= 0.75	-	BIOGRID	O43865	A0A024R0A8	NP_001229603|NP_001229602|NP_006612|NP_001229605|NP_001229604	Q9H299	-	NP_112576	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2384817	26136	83442	117572	123644	-	RP11-569G9.2	TES	SH3BGRL3	TESS|TESS-2	HEL-S-297|SH3BP-1|TIP-B1	Affinity Capture-MS	physical	Sala S (2017)	PUBMED:28378594	9606	9606	High Throughput	-	-	amino acids 92-199 of testin (PET domain) were used as bait	-	BIOGRID	Q9UGI8	A4D0U5	NP_690042|NP_056456	Q9H299	-	NP_112576	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2520959	2100	83442	108404	123644	-	RP11-569G9.2	ESR2	SH3BGRL3	ER-BETA|ESR-BETA|ESRB|ESTRB|Erb|NR3A2	HEL-S-297|SH3BP-1|TIP-B1	Affinity Capture-MS	physical	Giurato G (2018)	PUBMED:29509190	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q92731	Q0PTK2|Q7LCB3|F1D8N3	NP_001201832|NP_001428|NP_001201831|NP_001278641|NP_001035365|NP_001278652|NP_001258805|NP_001258806	Q9H299	-	NP_112576	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2624447	83442	8803	123644	114331	RP11-569G9.2	RP11-528D24.2	SH3BGRL3	SUCLA2	HEL-S-297|SH3BP-1|TIP-B1	A-BETA|MTDPS5|SCS-betaA	Co-fractionation	physical	Moutaoufik MT (2019)	PUBMED:31536960	9606	9606	High Throughput	1.963475709	-	Protein pairs with Sigma LLS score >= 1.45 derived from Ntera2 embryonic carcinoma stem cells (ECSC)	-	BIOGRID	Q9H299	-	NP_112576	Q9P2R7	Q9Y4T0|E5KS60	NP_003841	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2624474	8802	83442	114330	123644	-	RP11-569G9.2	SUCLG1	SH3BGRL3	GALPHA|MTDPS9|SUCLA1	HEL-S-297|SH3BP-1|TIP-B1	Co-fractionation	physical	Moutaoufik MT (2019)	PUBMED:31536960	9606	9606	High Throughput	1.865388093	-	Protein pairs with Sigma LLS score >= 1.45 derived from Ntera2 embryonic carcinoma stem cells (ECSC)	-	BIOGRID	P53597	-	NP_003840	Q9H299	-	NP_112576	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2624487	5019	83442	111059	123644	-	RP11-569G9.2	OXCT1	SH3BGRL3	OXCT|SCOT	HEL-S-297|SH3BP-1|TIP-B1	Co-fractionation	physical	Moutaoufik MT (2019)	PUBMED:31536960	9606	9606	High Throughput	1.850885918	-	Protein pairs with Sigma LLS score >= 1.45 derived from Ntera2 embryonic carcinoma stem cells (ECSC)	-	BIOGRID	P55809	A0A024R040	NP_000427	Q9H299	-	NP_112576	-	-	-	-	-	-	Homo sapiens	Homo sapiens
