#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
256237	6845	8943	112712	114455	-	PRO0039	VAMP7	AP3D1	SYBL1|TI-VAMP|TIVAMP|VAMP-7	ADTD|hBLVR	Two-hybrid	physical	Martinez-Arca S (2003)	PUBMED:12853575	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P51809	A0A024R061|A0A024R074	NP_005629|NP_001138621|NP_001172112	O14617	-	NP_001248755|NP_003929|NP_001361728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256239	6845	8943	112712	114455	-	PRO0039	VAMP7	AP3D1	SYBL1|TI-VAMP|TIVAMP|VAMP-7	ADTD|hBLVR	Affinity Capture-Western	physical	Martinez-Arca S (2003)	PUBMED:12853575	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P51809	A0A024R061|A0A024R074	NP_005629|NP_001138621|NP_001172112	O14617	-	NP_001248755|NP_003929|NP_001361728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
316884	10239	8943	115533	114455	-	PRO0039	AP3S2	AP3D1	AP3S3|sigma3b	ADTD|hBLVR	Affinity Capture-Western	physical	Dell'Angelica EC (1997)	PUBMED:9182526	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P59780	A0A024RC62	NP_005820	O14617	-	NP_001248755|NP_003929|NP_001361728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
665586	408	8943	106901	114455	-	PRO0039	ARRB1	AP3D1	ARB1|ARR1	ADTD|hBLVR	Affinity Capture-MS	physical	Xiao K (2007)	PUBMED:17620599	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	P49407	B7Z1Q3	NP_004032|NP_064647	O14617	-	NP_001248755|NP_003929|NP_001361728	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
665761	409	8943	106902	114455	-	PRO0039	ARRB2	AP3D1	ARB2|ARR2|BARR2	ADTD|hBLVR	Affinity Capture-MS	physical	Xiao K (2007)	PUBMED:17620599	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	P32121	K7ENA6|Q68DZ5|Q59EM5	NP_001244257|NP_001244259|NP_001244258|NP_001316993|NP_001244260|NP_004304|NP_945355	O14617	-	NP_001248755|NP_003929|NP_001361728	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
724428	2869	8943	109127	114455	RP11-714M16.1	PRO0039	GRK5	AP3D1	GPRK5	ADTD|hBLVR	Affinity Capture-MS	physical	Wu Z (2012)	PUBMED:22952844	9606	9606	High Throughput	-	-	-	-	BIOGRID	P34947	-	NP_005299	O14617	-	NP_001248755|NP_003929|NP_001361728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
728136	2149	8943	108448	114455	-	PRO0039	F2R	AP3D1	CF2R|HTR|PAR-1|PAR1|TR	ADTD|hBLVR	Affinity Capture-Western	physical	Dores MR (2012)	PUBMED:22833563	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P25116	Q2TNB2|A0A024RAP7	NP_001983|NP_001298242	O14617	-	NP_001248755|NP_003929|NP_001361728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
744434	8546	8943	114116	114455	-	PRO0039	AP3B1	AP3D1	ADTB3|ADTB3A|HPS|HPS2|PE	ADTD|hBLVR	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.993	-	Denoised score >= 0.75	-	BIOGRID	O00203	-	NP_001258698|NP_003655	O14617	-	NP_001248755|NP_003929|NP_001361728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
748243	8943	27336	114455	118149	PRO0039	RP1-196E23.2	AP3D1	HTATSF1	ADTD|hBLVR	TAT-SF1|TATSF1|dJ196E23.2	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.882	-	Denoised score >= 0.75	-	BIOGRID	O14617	-	NP_001248755|NP_003929|NP_001361728	O43719	-	NP_001156752|NP_055315	-	-	-	-	-	-	Homo sapiens	Homo sapiens
750076	8943	984	114455	107421	PRO0039	-	AP3D1	CDK11B	ADTD|hBLVR	CDC2L1|CDK11|CDK11-p110|CDK11-p46|CDK11-p58|CLK-1|PITSLREA|PK58|p58|p58CDC2L1|p58CLK-1	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.825	-	Denoised score >= 0.75	-	BIOGRID	O14617	-	NP_001248755|NP_003929|NP_001361728	P21127	B7ZVY7|B4DII1|J3QKR5|J3QR44|J3QR29	NP_001278274|NP_001778|NP_277028|NP_277022|NP_277023|NP_277021|NP_277027|NP_277024|NP_277025	-	-	-	-	-	-	Homo sapiens	Homo sapiens
920105	8546	8943	114116	114455	-	PRO0039	AP3B1	AP3D1	ADTB3|ADTB3A|HPS|HPS2|PE	ADTD|hBLVR	Co-fractionation	physical	Kristensen AR (2012)	PUBMED:22863883	9606	9606	High Throughput	-	-	-	-	BIOGRID	O00203	-	NP_001258698|NP_003655	O14617	-	NP_001248755|NP_003929|NP_001361728	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
920106	26985	8943	117938	114455	RP11-178G16.4	PRO0039	AP3M1	AP3D1	-	ADTD|hBLVR	Co-fractionation	physical	Kristensen AR (2012)	PUBMED:22863883	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q9Y2T2	A0A024QZR5	NP_996895|NP_001307192|NP_001307193|NP_001307194|NP_036227	O14617	-	NP_001248755|NP_003929|NP_001361728	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
920107	1176	8943	107590	114455	-	PRO0039	AP3S1	AP3D1	CLAPS3|Sigma3A	ADTD|hBLVR	Co-fractionation	physical	Kristensen AR (2012)	PUBMED:22863883	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q92572	-	NP_001351051|NP_001275|NP_001305019|NP_001002924|NP_001305022|NP_001305023|NP_001305020|NP_001351048	O14617	-	NP_001248755|NP_003929|NP_001361728	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
946429	1956	8943	108276	114455	-	PRO0039	EGFR	AP3D1	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	ADTD|hBLVR	Affinity Capture-MS	physical	Tong J (2014)	PUBMED:24797263	9606	9606	High Throughput	-	-	-	-	BIOGRID	P00533	-	NP_001333829|NP_001333828|NP_958440|NP_005219|NP_001333827|NP_001333826|NP_958441|NP_001333870|NP_958439	O14617	-	NP_001248755|NP_003929|NP_001361728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
950358	6780	8943	112657	114455	RP3-470L14.2	PRO0039	STAU1	AP3D1	PPP1R150|STAU	ADTD|hBLVR	Affinity Capture-MS	physical	Milev MP (2012)	PUBMED:23125841	9606	9606	High Throughput	-	-	-	-	BIOGRID	O95793	B3KRE0|Q6PJX3	NP_059347|NP_059346|NP_001306063|NP_059348|NP_001309858|NP_001032405|NP_001306064|NP_001309862|NP_001309859|NP_004593|NP_001309857|NP_001309856|NP_001309860|NP_001309861	O14617	-	NP_001248755|NP_003929|NP_001361728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1053932	80230	8943	123193	114455	-	PRO0039	RUFY1	AP3D1	RABIP4|ZFYVE12	ADTD|hBLVR	Reconstituted Complex	physical	Ivan V (2012)	PUBMED:23144738	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96T51	A8K7B1	NP_079434|NP_001035542|NP_001035541	O14617	-	NP_001248755|NP_003929|NP_001361728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1053942	8943	8120	114455	113788	PRO0039	-	AP3D1	AP3B2	ADTD|hBLVR	NAPTB	Affinity Capture-Western	physical	Ivan V (2012)	PUBMED:23144738	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14617	-	NP_001248755|NP_003929|NP_001361728	Q13367	-	NP_004635|NP_001265441|NP_001265440	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1053943	8943	1176	114455	107590	PRO0039	-	AP3D1	AP3S1	ADTD|hBLVR	CLAPS3|Sigma3A	Affinity Capture-Western	physical	Ivan V (2012)	PUBMED:23144738	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14617	-	NP_001248755|NP_003929|NP_001361728	Q92572	-	NP_001351051|NP_001275|NP_001305019|NP_001002924|NP_001305022|NP_001305023|NP_001305020|NP_001351048	-	-	-	-	-	-	Homo sapiens	Homo sapiens
1053944	8943	26985	114455	117938	PRO0039	RP11-178G16.4	AP3D1	AP3M1	ADTD|hBLVR	-	Affinity Capture-Western	physical	Ivan V (2012)	PUBMED:23144738	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14617	-	NP_001248755|NP_003929|NP_001361728	Q9Y2T2	A0A024QZR5	NP_996895|NP_001307192|NP_001307193|NP_001307194|NP_036227	-	-	-	-	-	-	Homo sapiens	Homo sapiens
