#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
612	377	23647	106872	117174	-	-	ARF3	ARFIP2	-	POR1	Two-hybrid	physical	Kanoh H (1997)	PUBMED:9038142	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P61204	A0A024R0Y6	NP_001650	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	-	-	-	-	-	-	Homo sapiens	Homo sapiens
19671	23647	382	117174	106877	-	-	ARFIP2	ARF6	POR1	-	Two-hybrid	physical	D'Souza-Schorey C (1997)	PUBMED:9312003	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	P62330	-	NP_001654	-	-	-	-	-	-	Homo sapiens	Homo sapiens
23772	5879	23647	111817	117174	MIG5	-	RAC1	ARFIP2	Rac-1|TC-25|p21-Rac1	POR1	Two-hybrid	physical	Shin OH (2001)	PUBMED:11478794	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63000	A4D2P1|A4D2P0	NP_008839|NP_061485	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	-	-	-	-	-	-	Homo sapiens	Homo sapiens
120206	23647	84062	117174	123857	-	RP1-147M19.1	ARFIP2	DTNBP1	POR1	BLOC1S8|DBND|HPS7|My031|SDY	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	Q96EV8	A0A087WYP9|A6NFV8	NP_898861|NP_001258598|NP_001258597|NP_001258596|NP_115498	-	-	-	-	-	-	Homo sapiens	Homo sapiens
121868	23421	23647	116992	117174	-	-	ITGB3BP	ARFIP2	CENP-R|CENPR|HSU37139|NRIF3|TAP20	POR1	Two-hybrid	physical	Rual JF (2005)	PUBMED:16189514	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q13352	-	NP_055103|NP_001193668	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255153	400	23647	106893	117174	-	-	ARL1	ARFIP2	ARFL1	POR1	Two-hybrid	physical	Lu L (2003)	PUBMED:12972563	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P40616	B4DZG7	NP_001168|NP_001287997	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277529	377	23647	106872	117174	-	-	ARF3	ARFIP2	-	POR1	Reconstituted Complex	physical	Kanoh H (1997)	PUBMED:9038142	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P61204	A0A024R0Y6	NP_001650	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277531	375	23647	106870	117174	-	-	ARF1	ARFIP2	-	POR1	Reconstituted Complex	physical	Kanoh H (1997)	PUBMED:9038142	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P84077	A0A024R3Q3	NP_001019398|NP_001019397|NP_001649|NP_001019399	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277532	381	23647	106876	117174	-	-	ARF5	ARFIP2	-	POR1	Reconstituted Complex	physical	Kanoh H (1997)	PUBMED:9038142	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P84085	A4D0Z3	NP_001653	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279241	5879	23647	111817	117174	MIG5	-	RAC1	ARFIP2	Rac-1|TC-25|p21-Rac1	POR1	Reconstituted Complex	physical	Van Aelst L (1996)	PUBMED:8670882	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63000	A4D2P1|A4D2P0	NP_008839|NP_061485	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279242	5879	23647	111817	117174	MIG5	-	RAC1	ARFIP2	Rac-1|TC-25|p21-Rac1	POR1	Two-hybrid	physical	Van Aelst L (1996)	PUBMED:8670882	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63000	A4D2P1|A4D2P0	NP_008839|NP_061485	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	-	-	-	-	-	-	Homo sapiens	Homo sapiens
297195	23647	381	117174	106876	-	-	ARFIP2	ARF5	POR1	-	Two-hybrid	physical	Shin OH (2001)	PUBMED:11478794	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	P84085	A4D0Z3	NP_001653	-	-	-	-	-	-	Homo sapiens	Homo sapiens
297196	23647	382	117174	106877	-	-	ARFIP2	ARF6	POR1	-	Two-hybrid	physical	Shin OH (2001)	PUBMED:11478794	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	P62330	-	NP_001654	-	-	-	-	-	-	Homo sapiens	Homo sapiens
297198	23647	381	117174	106876	-	-	ARFIP2	ARF5	POR1	-	Reconstituted Complex	physical	Shin OH (2001)	PUBMED:11478794	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	P84085	A4D0Z3	NP_001653	-	-	-	-	-	-	Homo sapiens	Homo sapiens
297199	23647	382	117174	106877	-	-	ARFIP2	ARF6	POR1	-	Reconstituted Complex	physical	Shin OH (2001)	PUBMED:11478794	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	P62330	-	NP_001654	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303030	23647	5879	117174	111817	-	MIG5	ARFIP2	RAC1	POR1	Rac-1|TC-25|p21-Rac1	Co-crystal Structure	physical	Tarricone C (2001)	PUBMED:11346801	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	P63000	A4D2P1|A4D2P0	NP_008839|NP_061485	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303031	23647	23647	117174	117174	-	-	ARFIP2	ARFIP2	POR1	POR1	Co-crystal Structure	physical	Tarricone C (2001)	PUBMED:11346801	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303032	23647	5879	117174	111817	-	MIG5	ARFIP2	RAC1	POR1	Rac-1|TC-25|p21-Rac1	Reconstituted Complex	physical	Tarricone C (2001)	PUBMED:11346801	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	P63000	A4D2P1|A4D2P0	NP_008839|NP_061485	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315390	382	23647	106877	117174	-	-	ARF6	ARFIP2	-	POR1	Reconstituted Complex	physical	D'Souza-Schorey C (1997)	PUBMED:9312003	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P62330	-	NP_001654	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	-	-	-	-	-	-	Homo sapiens	Homo sapiens
315391	207	23647	106710	117174	-	-	AKT1	ARFIP2	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	POR1	Two-hybrid	physical	D'Souza-Schorey C (1997)	PUBMED:9312003	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P31749	B0LPE5|B3KVH4	NP_005154|NP_001014432|NP_001014431|NP_001369359|NP_001369362|NP_001369361|NP_001369360	P53365	B4DUZ3|B4DXH2|A0A087X1E4	NP_036534|NP_001229785|NP_001229784|NP_001229783	-	-	-	-	-	-	Homo sapiens	Homo sapiens
