#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
260937	604	10014	107076	115331	-	-	BCL6	HDAC5	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	HD5|NY-CO-9	Affinity Capture-Western	physical	Lemercier C (2002)	PUBMED:11929873	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P41182	B5B0A5	NP_001124317|NP_001697|NP_001128210	Q9UQL6	-	NP_005465|NP_001369322|NP_001015053	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260938	604	9759	107076	115106	-	-	BCL6	HDAC4	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	AHO3|BDMR|HA6116|HD4|HDAC-4|HDAC-A|HDACA	Affinity Capture-Western	physical	Lemercier C (2002)	PUBMED:11929873	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P41182	B5B0A5	NP_001124317|NP_001697|NP_001128210	P56524	Q86YH7	NP_001365345|NP_001365343|NP_006028|NP_001365344|NP_001365346	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260939	604	51564	107076	119613	-	-	BCL6	HDAC7	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	HD7A|HDAC7A	Affinity Capture-Western	physical	Lemercier C (2002)	PUBMED:11929873	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P41182	B5B0A5	NP_001124317|NP_001697|NP_001128210	Q8WUI4	-	NP_056216|NP_001091886|NP_001295019|NP_001354975	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260940	10014	604	115331	107076	-	-	HDAC5	BCL6	HD5|NY-CO-9	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	Reconstituted Complex	physical	Lemercier C (2002)	PUBMED:11929873	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UQL6	-	NP_005465|NP_001369322|NP_001015053	P41182	B5B0A5	NP_001124317|NP_001697|NP_001128210	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260942	9759	604	115106	107076	-	-	HDAC4	BCL6	AHO3|BDMR|HA6116|HD4|HDAC-4|HDAC-A|HDACA	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	Reconstituted Complex	physical	Lemercier C (2002)	PUBMED:11929873	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P56524	Q86YH7	NP_001365345|NP_001365343|NP_006028|NP_001365344|NP_001365346	P41182	B5B0A5	NP_001124317|NP_001697|NP_001128210	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260944	51564	604	119613	107076	-	-	HDAC7	BCL6	HD7A|HDAC7A	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	Reconstituted Complex	physical	Lemercier C (2002)	PUBMED:11929873	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8WUI4	-	NP_056216|NP_001091886|NP_001295019|NP_001354975	P41182	B5B0A5	NP_001124317|NP_001697|NP_001128210	-	-	-	-	-	-	Homo sapiens	Homo sapiens
261935	54880	604	120228	107076	-	-	BCOR	BCL6	ANOP2|MAA2|MCOPS2	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	Reconstituted Complex	physical	Huynh KD (2000)	PUBMED:10898795	9606	9606	Low Throughput	-	-	Both proteins purified.	-	BIOGRID	Q6W2J9	-	NP_001116855|NP_060215|NP_001116857|NP_001116856	P41182	B5B0A5	NP_001124317|NP_001697|NP_001128210	-	-	-	-	-	-	Homo sapiens	Homo sapiens
261936	54880	604	120228	107076	-	-	BCOR	BCL6	ANOP2|MAA2|MCOPS2	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	Affinity Capture-Western	physical	Huynh KD (2000)	PUBMED:10898795	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q6W2J9	-	NP_001116855|NP_060215|NP_001116857|NP_001116856	P41182	B5B0A5	NP_001124317|NP_001697|NP_001128210	-	-	-	-	-	-	Homo sapiens	Homo sapiens
261948	604	9612	107076	114974	-	-	BCL6	NCOR2	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	Two-hybrid	physical	Huynh KD (2000)	PUBMED:10898795	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P41182	B5B0A5	NP_001124317|NP_001697|NP_001128210	Q9Y618	C9JFD3|C9J0Q5|C9JE98	NP_001070729|NP_006303|NP_001193583	-	-	-	-	-	-	Homo sapiens	Homo sapiens
261949	604	54880	107076	120228	-	-	BCL6	BCOR	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	ANOP2|MAA2|MCOPS2	Two-hybrid	physical	Huynh KD (2000)	PUBMED:10898795	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P41182	B5B0A5	NP_001124317|NP_001697|NP_001128210	Q6W2J9	-	NP_001116855|NP_060215|NP_001116857|NP_001116856	-	-	-	-	-	-	Homo sapiens	Homo sapiens
