#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
241697	396	387	106889	106880	-	-	ARHGDIA	RHOA	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	ARH12|ARHA|RHO12|RHOH12	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.472	-	Exogenous expression of bait	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	P61586	Q9BVT0|A0A024R324	NP_001300872|NP_001300873|NP_001300870|NP_001655|NP_001300876|NP_001300874|NP_001300875	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
241766	396	5879	106889	111817	-	MIG5	ARHGDIA	RAC1	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	Rac-1|TC-25|p21-Rac1	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.449	-	Exogenous expression of bait	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	P63000	A4D2P1|A4D2P0	NP_008839|NP_061485	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
241800	396	389	106889	106882	-	RP11-426L16.4	ARHGDIA	RHOC	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	ARH9|ARHC|H9|RHOH9	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.44	-	Exogenous expression of bait	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	P08134	A0A024R0I3	NP_786886|NP_001036144|NP_001036143	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
241884	396	998	106889	107433	-	RP1-224A6.5	ARHGDIA	CDC42	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	CDC42Hs|G25K	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.423	-	Exogenous expression of bait	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	P60953	A0A024RAE4|A0A024RAE6	NP_426359|NP_001782|NP_001034891	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
242165	396	1967	106889	108286	-	-	ARHGDIA	EIF2B1	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	EIF2B|EIF2BA	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.386	-	Exogenous expression of bait	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	Q14232	-	NP_001405	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
242441	396	1660	106889	108025	-	-	ARHGDIA	DHX9	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	DDX9|LKP|NDH2|NDHII|RHA	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.364	-	Exogenous expression of bait	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	Q08211	B3KU66	NP_001348	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
242639	396	10642	106889	115886	-	-	ARHGDIA	IGF2BP1	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	CRD-BP|CRDBP|IMP-1|IMP1|VICKZ1|ZBP1	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.349	-	Exogenous expression of bait	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	Q9NZI8	-	NP_006537|NP_001153895	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
242702	396	3182	106889	109423	-	-	ARHGDIA	HNRNPAB	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	ABBP1|HNRPAB	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.344	-	Exogenous expression of bait	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	Q99729	-	NP_112556|NP_004490	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
242827	396	2130	106889	108431	-	AC002059.7	ARHGDIA	EWSR1	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	EWS|bK984G1.4	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	0.336	-	Exogenous expression of bait	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	Q01844	-	NP_001156758|NP_001156759|NP_005234|NP_053733|NP_001156757	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
243407	396	220988	106889	128670	-	-	ARHGDIA	HNRNPA3	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	2610510D13Rik|D10S102|FBRNP|HNRPA3	Affinity Capture-MS	physical	Ewing RM (2007)	PUBMED:17353931	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	P51991	B4DDB6	NP_919223|NP_001317179|NP_001317178|NP_001317180|NP_001317177|NP_001317176	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
244284	396	637	106889	107106	-	-	ARHGDIA	BID	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	FP497	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	P55957	B2ZP79|A8ASI8|B3KT21	NP_001231499|NP_001231498|NP_001231496|NP_001231501|NP_001187|NP_932071|NP_932070	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244295	396	8795	106889	114323	-	UNQ160/PRO186	ARHGDIA	TNFRSF10B	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	CD262|DR5|KILLER|KILLER/DR5|TRAIL-R2|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	O14763	Q7Z2I8	NP_671716|NP_003833	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244300	396	7430	106889	113271	-	-	ARHGDIA	EZR	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	CVIL|CVL|HEL-S-105|VIL2	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	P15311	-	NP_003370|NP_001104547	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244302	396	8772	106889	114302	-	GIG3	ARHGDIA	FADD	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	MORT1	Co-purification	physical	Gajate C (2005)	PUBMED:15659383	9606	9606	Low Throughput	-	-	Fas, tumor necrosis factor-receptor 1, and tumor necrosis factor-related apoptosis-inducing ligand receptor 2/death receptor 5 were clustered into lipid rafts in leukemic Jurkat cells following Aplidin treatment;Fas ligand (FasL) as well as downstream sig	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	Q13158	-	NP_003815	-	-	-	-	-	-	Homo sapiens	Homo sapiens
